"","exchange","symbol","price","size","primary exchange"
"535","Z","ABFS",11.6526,6374,"Q"
"538","B","ABG",37.3008184626335,43200,"N"
"539","C","ABG",37.6871431428571,700,"N"
"542","D1","ABG",37.1613913709677,98408,"N"
"545","D2","ABG",36.9844715447154,19791,"N"
"548","J","ABG",37.3401135681818,4815,"N"
"551","K","ABG",37.3953204615385,47652,"N"
"554","N","ABG",37.4822848813056,38510,"N"
"557","P","ABG",37.1244747003891,31366,"N"
"560","Q","ABG",37.0404357752294,27221,"N"
"561","W","ABG",37.90499975,400,"N"
"563","X","ABG",36.7063639090909,1100,"N"
"566","Y","ABG",37.4707499,4200,"N"
"569","Z","ABG",37.0179923484848,15053,"N"
"570","P","ABI",19,100,"P"
"571","B","ABIO",2.6,300,"Q"
"573","D1","ABIO",2.5619756097561,25652,"Q"
"575","D2","ABIO",2.57666666666667,9660,"Q"
"576","J","ABIO",2.597,1800,"Q"
"578","K","ABIO",2.60555555555556,1600,"Q"
"579","P","ABIO",2.57,1300,"Q"
"580","Q","ABIO",2.61666666666667,1825,"Q"
"581","X","ABIO",2.6,100,"Q"
"582","Y","ABIO",2.59,280,"Q"
"584","Z","ABIO",2.58166666666667,1830,"Q"
"586","B","ABM",21.048334,600,"N"
"587","C","ABM",20.8100005,200,"N"
"590","D1","ABM",21.0180902566372,16868,"N"
"592","D2","ABM",20.9569565217391,3792,"N"
"594","J","ABM",21.0437505,800,"N"
"596","K","ABM",20.9847412844828,14088,"N"
"598","N","ABM",20.9892240991379,33438,"N"
"600","P","ABM",20.9863637662338,10200,"N"
"602","Q","ABM",20.9620001368421,11051,"N"
"604","W","ABM",21.0433333333333,1200,"N"
"605","X","ABM",20.790001,100,"N"
"607","Y","ABM",20.9280002,21163,"N"
"609","Z","ABM",20.94972225,3692,"N"
"611","B","ABMD",17.8433334285714,2100,"Q"
"612","C","ABMD",17.8866673333333,300,"Q"
"615","D1","ABMD",17.8725090181818,28076,"Q"
"618","D2","ABMD",17.89,2760,"Q"
"620","J","ABMD",17.8751852222222,2900,"Q"
"622","K","ABMD",17.8861818363636,7003,"Q"
"624","P","ABMD",17.8835592542373,6500,"Q"
"626","Q","ABMD",17.8456462015209,37943,"Q"
"627","W","ABMD",17.85750025,400,"Q"
"630","Y","ABMD",17.8835712857143,4469,"Q"
"632","Z","ABMD",17.8846426964286,5600,"Q"
"634","B","ABR",7.44261904761905,4400,"N"
"635","C","ABR",7.46,100,"N"
"638","D1","ABR",7.45427916666667,39918,"N"
"640","D2","ABR",7.46301587301587,22075,"N"
"642","J","ABR",7.46266666666667,3915,"N"
"644","K","ABR",7.45459016393443,6900,"N"
"647","N","ABR",7.45057971014493,9151,"N"
"649","P","ABR",7.48566666666667,2100,"N"
"652","Q","ABR",7.43666666666667,5410,"N"
"654","W","ABR",7.4375,1600,"N"
"655","X","ABR",7.495,400,"N"
"657","Y","ABR",7.476,2000,"N"
"658","Z","ABR",7.46351851851852,2700,"N"
"661","B","ABT",36.8028814847418,92712,"N"
"662","C","ABT",36.9033316666667,300,"N"
"665","D1","ABT",36.8569047836449,1294493,"N"
"668","D2","ABT",36.8217214700193,74384,"N"
"671","J","ABT",36.8764109925743,50927,"N"
"674","K","ABT",36.806966107234,175081,"N"
"677","N","ABT",36.7724160143934,374345,"N"
"680","P","ABT",36.8547936741492,214551,"N"
"683","Q","ABT",36.8364937575277,390283,"N"
"686","W","ABT",36.9455062721519,15800,"N"
"688","X","ABT",36.8016665625,11454,"N"
"691","Y","ABT",36.8486813681319,23782,"N"
"694","Z","ABT",36.7966359958284,232972,"N"
"695","D1","ABTL",4.1105,100,"Q"
"696","D2","ABTL",4.12,100,"Q"
"697","K","ABTL",4.13,100,"Q"
"698","P","ABTL",4.12,100,"Q"
"699","Q","ABTL",4.12,350,"Q"
"700","Y","ABTL",4.12,100,"Q"
"701","Z","ABTL",4.15,300,"Q"
"704","B","ABV",39.705580116,27178,"N"
"706","C","ABV",39.81499975,400,"N"
"709","D1","ABV",39.694664186954,590383,"N"
"712","D2","ABV",39.7036802973978,79175,"N"
"715","J","ABV",39.6974999448529,28756,"N"
"718","K","ABV",39.6657895789474,41262,"N"
"721","N","ABV",39.7415677647975,180516,"N"
"724","P","ABV",39.6921850777311,57300,"N"
"727","Q","ABV",39.7018380257069,99904,"N"
"730","W","ABV",39.71216675,13300,"N"
"733","X","ABV",39.6865971458333,18200,"N"
"736","Y","ABV",39.7176188095238,6805,"N"
"739","Z","ABV",39.6829348307453,68472,"N"
"742","B","ABX",18.3530997367413,623806,"N"
"745","C","ABX",18.2739023658537,17679,"N"
"748","D1","ABX",18.3374347699196,6008591,"N"
"751","D2","ABX",18.3256846473029,1538495,"N"
"754","J","ABX",18.3076366871556,302780,"N"
"757","K","ABX",18.2929662631176,767423,"N"
"760","N","ABX",18.3278505250501,1233029,"N"
"763","P","ABX",18.2693897537915,864811,"N"
"766","Q","ABX",18.2726348448837,853934,"N"
"769","W","ABX",18.2878552583979,59368,"N"
"772","X","ABX",18.2506163207547,112729,"N"
"775","Y","ABX",18.4009743092926,173981,"N"
"778","Z","ABX",18.2670290911991,1014780,"N"
"781","B","ACAD",13.2647058823529,8096,"Q"
"784","C","ACAD",13.1833333333333,18358,"Q"
"787","D1","ACAD",13.226330961183,867707,"Q"
"790","D2","ACAD",13.2274624918461,446102,"Q"
"793","J","ACAD",13.240350877193,28414,"Q"
"796","K","ACAD",13.2523954183267,307670,"Q"
"799","P","ACAD",13.2651920236337,119310,"Q"
"802","Q","ACAD",13.2398009810792,361016,"Q"
"805","W","ACAD",13.3214285714286,2100,"Q"
"807","X","ACAD",13.1133333333333,300,"Q"
"810","Y","ACAD",13.2046428571429,5150,"Q"
"813","Z","ACAD",13.2370135746606,262883,"Q"
"815","A","ACAS",14.2383870967742,10200,"Q"
"818","B","ACAS",14.2217280453258,41420,"Q"
"821","D1","ACAS",14.2077022245763,230044,"Q"
"824","D2","ACAS",14.18654,69151,"Q"
"827","J","ACAS",14.1886450381679,33668,"Q"
"830","K","ACAS",14.1920862470862,66547,"Q"
"833","P","ACAS",14.1814176829268,49154,"Q"
"836","Q","ACAS",14.1913979193758,135601,"Q"
"839","W","ACAS",14.2241975308642,9400,"Q"
"841","X","ACAS",14.2032432432432,11700,"Q"
"844","Y","ACAS",14.2027142857143,14739,"Q"
"847","Z","ACAS",14.198909512761,57822,"Q"
"849","B","ACAT",43.5890907272727,2311,"Q"
"853","D1","ACAT",43.5218778035714,104804,"Q"
"855","D2","ACAT",43.629375,1809,"Q"
"857","J","ACAT",43.4881581052632,2000,"Q"
"858","K","ACAT",43.4517267482014,16390,"Q"
"861","P","ACAT",43.3783824411765,14294,"Q"
"864","Q","ACAT",43.4536260687023,15472,"Q"
"865","W","ACAT",43.119999,100,"Q"
"868","Y","ACAT",43.628571,2216,"Q"
"870","Z","ACAT",43.5592313076923,1300,"Q"
"873","B","ACC",43.4544119294118,11519,"N"
"875","C","ACC",43.4766653333333,300,"N"
"878","D1","ACC",43.4398737588989,474481,"N"
"881","D2","ACC",43.4737238493724,203060,"N"
"883","J","ACC",43.4741859883721,12883,"N"
"885","K","ACC",43.4241599101562,36328,"N"
"888","N","ACC",43.4552303309038,125733,"N"
"891","P","ACC",43.4360272054795,33750,"N"
"894","Q","ACC",43.4413762893258,41040,"N"
"896","W","ACC",43.4335293529412,3400,"N"
"898","X","ACC",43.5300000714286,2600,"N"
"900","Y","ACC",43.4451666,8400,"N"
"903","Z","ACC",43.4626635233645,27127,"N"
"904","B","ACCL",9.83166666666667,600,"Q"
"905","C","ACCL",9.8325,400,"Q"
"907","D1","ACCL",9.84159285714286,1775,"Q"
"910","D2","ACCL",9.84190476190476,5314,"Q"
"913","J","ACCL",9.83857142857143,700,"Q"
"916","K","ACCL",9.8375,2400,"Q"
"918","P","ACCL",9.83647058823529,2100,"Q"
"921","Q","ACCL",9.83885057471264,9730,"Q"
"922","Y","ACCL",9.83,200,"Q"
"924","Z","ACCL",9.83857142857143,2200,"Q"
"926","B","ACCO",6.76690860215054,22400,"N"
"928","C","ACCO",6.76666666666667,1200,"N"
"931","D1","ACCO",6.77446187739464,78976,"N"
"934","D2","ACCO",6.77059139784946,99520,"N"
"936","J","ACCO",6.76673295454545,21964,"N"
"938","K","ACCO",6.77480496453901,45489,"N"
"941","N","ACCO",6.77800524934383,85899,"N"
"944","P","ACCO",6.78183385579937,44688,"N"
"947","Q","ACCO",6.77173374613003,46071,"N"
"949","W","ACCO",6.76737089201878,33580,"N"
"951","X","ACCO",6.75434782608696,5200,"N"
"953","Y","ACCO",6.76739583333333,5944,"N"
"955","Z","ACCO",6.77306547619048,50566,"N"
"958","B","ACE",89.6497646529412,23536,"N"
"960","C","ACE",89.7396154615385,2900,"N"
"963","D1","ACE",89.7386951689189,389499,"N"
"966","D2","ACE",89.5710979228487,52915,"N"
"969","J","ACE",89.6856353095238,13975,"N"
"972","K","ACE",89.7051179153543,60957,"N"
"975","N","ACE",89.6926820204082,81399,"N"
"978","P","ACE",89.6778284638009,50696,"N"
"981","Q","ACE",89.6853921517707,140035,"N"
"983","W","ACE",89.8610528684211,3800,"N"
"986","X","ACE",89.7440004,700,"N"
"989","Y","ACE",89.7674181690141,23669,"N"
"992","Z","ACE",89.7103286684564,84176,"N"
"993","B","ACET",10.55,100,"Q"
"995","D1","ACET",10.6313683544304,12763,"Q"
"997","D2","ACET",10.6140909090909,7185,"Q"
"999","J","ACET",10.71,100,"Q"
"1000","K","ACET",10.63,900,"Q"
"1002","P","ACET",10.645,800,"Q"
"1004","Q","ACET",10.6157575757576,4126,"Q"
"1006","Z","ACET",10.61,1000,"Q"
"1007","B","ACFC",4.94,100,"Q"
"1009","D1","ACFC",4.925,2700,"Q"
"1011","D2","ACFC",4.93,940,"Q"
"1013","P","ACFC",4.93,1040,"Q"
"1015","Q","ACFC",4.92666666666667,500,"Q"
"1016","Y","ACFC",4.94,300,"Q"
"1017","Z","ACFC",4.91,1000,"Q"
"1018","C","ACFN",6.95,100,"Q"
"1021","D1","ACFN",6.92063181818182,5404,"Q"
"1024","D2","ACFN",6.92363636363636,1600,"Q"
"1026","J","ACFN",6.9075,400,"Q"
"1028","K","ACFN",6.914,545,"Q"
"1030","P","ACFN",6.92295454545455,2317,"Q"
"1032","Q","ACFN",6.89884615384615,6620,"Q"
"1033","Y","ACFN",6.94,200,"Q"
