"","symbol","exchange","timegrp","effectiveSpread","price","spread","size","primary exchange"
"261","AMZN","K","Early",0.0763990058273566,263.094265296811,0.105578813396516,9992,"Q"
"264","AMZN","P","Early",0.11705914665671,263.090807746438,0.15808733771829,7558,"Q"
"267","AMZN","Q","Early",0.120940444048713,263.059469424977,0.166000904756434,9756,"Q"
"272","AMZN","Y","Early",0.137141636439732,263.123333158947,0.172379266648065,2144,"Q"
"275","AMZN","Z","Early",0.0913572149761653,262.997289108018,0.137455309851695,8788,"Q"
"281","APA","B","Early",0.0655526055230035,76.6555574205187,0.0699979994032118,900,"N"
"288","APA","J","Early",0.0437517166137695,76.6125011444092,0.0487489700317383,1100,"N"
"291","APA","K","Early",0.0300013224283854,76.5949986775716,0.0366643269856771,1115,"N"
"294","APA","N","Early",0.0282609359077785,76.625652147376,0.0352169534434443,4665,"N"
"297","APA","P","Early",0.0210016886393229,76.5933334350586,0.0363327026367187,4414,"N"
"300","APA","Q","Early",0.0223353068033854,76.6144996643066,0.0359995524088542,3461,"N"
"305","APA","Y","Early",0.0464292253766741,76.4757140023368,0.049285888671875,1401,"N"
"308","APA","Z","Early",0.0257154192243304,76.5578564235142,0.0428564889090402,1899,"N"
"314","APC","B","Early",0.0428553989955357,85.8657150268555,0.0571419852120536,700,"N"
"317","APC","C","Early",0.029998779296875,86,0.029998779296875,100,"N"
"323","APC","J","Early",0.0416717529296875,85.6750017801921,0.0583318074544271,600,"N"
"326","APC","K","Early",0.032632125051398,85.7976319162469,0.0531584087171053,2500,"N"
"329","APC","N","Early",0.0510831265836149,85.8662158862965,0.0629736410604941,15013,"N"
"332","APC","P","Early",0.0450017717149523,85.7969443003337,0.0577780405680339,4239,"N"
"335","APC","Q","Early",0.0477519989013672,85.8732500076294,0.0592506408691406,4481,"N"
"340","APC","X","Early",0.0699920654296875,85.8000030517578,0.110000610351562,400,"N"
"342","APC","Y","Early",0.0530776977539062,85.9061537522536,0.0607704749474159,1612,"N"
"345","APC","Z","Early",0.0319068545386905,85.8788085210891,0.0419049944196429,2600,"N"
"358","AXP","J","Early",0.0050048828125,67.4700012207031,0.0149993896484375,200,"N"
"361","AXP","K","Early",0.0145848592122396,67.4083334604899,0.0212510426839193,2660,"N"
"364","AXP","N","Early",0.0217185020446777,67.389843583107,0.0273432731628418,11109,"N"
"367","AXP","P","Early",0.00727370291045218,67.4600758408055,0.0143944711396188,7840,"N"
"370","AXP","Q","Early",0.0130108583320692,67.4196600312168,0.0202918191557949,11657,"N"
"373","AXP","W","Early",0.0366668701171875,67.4300003051758,0.0366668701171875,300,"N"
"377","AXP","Y","Early",0.0114288330078125,67.4157137189593,0.0142865862165179,1100,"N"
"380","AXP","Z","Early",0.01580078125,67.4368002319336,0.0202005004882812,6360,"N"
"386","BA","B","Early",0.0471403939383371,85.2264289855957,0.0585714067731585,1400,"N"
"394","BA","J","Early",0.0475025177001953,85.0200004577637,0.0675029754638672,400,"N"
"397","BA","K","Early",0.0164529123613911,84.9245162471648,0.0241925639490927,4100,"N"
