"","symbol","exchange","timegrp","effectiveSpread","price","spread","size","primary exchange"
"501","BAX","D1","Early",5.66051852318548e-06,72.4595157254127,0.0564518590127268,4600,"N"
"504","BAX","D2","Early",0.0672342870142553,72.4487241274351,0.0781827654157366,11146,"N"
"539","BK","D1","Early",9.5367431640625e-07,28.0150003433228,0.00999927520751953,200,"N"
"542","BK","D2","Early",0.0145039367675781,27.9964842987061,0.0172000122070313,4221,"N"
"579","BMY","D1","Early",2.75884355817522e-06,41.2316076414926,0.0110710348401751,50896,"N"
"582","BMY","D2","Early",0.0127525954950051,41.2590563039311,0.0113439090916368,79676,"N"
"619","BRK.B","D1","Early",4.16148792613636e-06,104.123635725542,0.0727289373224432,1100,"N"
"622","BRK.B","D2","Early",0.0475183852175449,104.075715815767,0.0547878995854804,18876,"N"
"657","C","D1","Early",1.84305598226826e-06,43.9838764747877,0.00932582040851036,20500,"N"
"660","C","D2","Early",0.0130862399191456,43.9767629884888,0.0101275996371359,294641,"N"
"699","CAT","D1","Early",3.73989928002451e-06,85.6655889772901,0.0417640536439185,17258,"N"
"702","CAT","D2","Early",0.0328887222159622,85.5654667585324,0.0341452248076088,62254,"N"
"739","CL","D1","Early",4.03909122242647e-06,118.180588666131,0.134117126464844,2500,"N"
"742","CL","D2","Early",0.138895423666945,118.183212576561,0.143203735351562,30585,"N"
"779","CMCSA","D1","Early",2.34750600961538e-06,41.7702564337315,0.0120509221003606,9551,"Q"
"782","CMCSA","D2","Early",0.0153631001961331,41.7882300197911,0.0122128654928768,50095,"Q"
"817","COF","D1","Early",2.46833352481618e-06,54.0214702381807,0.0288227305692785,2170,"N"
"820","COF","D2","Early",0.030900088223544,54.0446179129861,0.0329539559104226,8650,"N"
"858","COP","D1","Early",8.34465026855469e-06,60.4032845497131,0.015312671661377,5700,"N"
"861","COP","D2","Early",0.0196358816964286,60.4600106988634,0.0216966356549944,23852,"N"
"894","COST","D1","Early",3.33786010742188e-06,106.518749237061,0.0562500953674316,1950,"Q"
"897","COST","D2","Early",0.0472336601965206,106.495686796523,0.0575251628443138,22565,"Q"
"932","CSCO","D1","Early",1.75716370109498e-06,20.9570472446952,0.00968517093207892,23128,"Q"
"935","CSCO","D2","Early",0.0107716464540034,20.9630923081053,0.0100797990862833,308518,"Q"
"973","CVS","D1","Early",4.17232513427734e-06,54.7599486112595,0.0119791428248088,18391,"N"
"976","CVS","D2","Early",0.0186281518621759,54.7347350487342,0.0189010913555439,107717,"N"
"1013","CVX","D1","Early",2.54313151041667e-06,119.638333638509,0.0400009155273438,600,"N"
"1016","CVX","D2","Early",0.0350494384765625,119.623425670506,0.0401022999557023,15686,"N"
"1053","DD","D1","Early",2.70207722981771e-06,49.1933331489563,0.0183332761128743,5010,"N"
"1056","DD","D2","Early",0.0170646619193162,49.1701412683801,0.0144303478772127,22769,"N"
"1092","DELL","D1","Early",0,14.2915000915527,0.00900020599365234,6023,"Q"
"1095","DELL","D2","Early",0.00994080166484034,14.2953042041424,0.0100582810335381,571151,"Q"
"1133","DIS","D1","Early",2.74658203125e-06,57.1970000203451,0.0147998046875,9060,"N"
"1136","DIS","D2","Early",0.0176603308221175,57.1981771749343,0.0167294723727692,44346,"N"
"1174","DOW","D1","Early",1.80542924021947e-06,31.5026336262244,0.0109162367027224,24951,"N"
"1177","DOW","D2","Early",0.0141279235366703,31.500459271808,0.0115893016489901,72543,"N"
