"","symbol","exchange","timegrp","effectiveSpread","price","spread","size","primary exchange"
"510","BK","N","Midday",0.00899450173107754,28.0400822724895,0.00937841927983425,219836,"N"
"513","BK","P","Midday",0.00794708236964138,28.039228962072,0.00984269462540482,146374,"N"
"516","BK","Q","Midday",0.00803890546605053,28.0444436995144,0.00958251024652091,220846,"N"
"518","BK","W","Midday",0.0102941849652459,28.0210294723511,0.0100000605863683,11420,"N"
"521","BK","X","Midday",0.00911768744973575,28.0466173957376,0.00941175573012408,6728,"N"
"524","BK","Y","Midday",0.009350389449613,28.0344548324974,0.00967516091472865,50794,"N"
"527","BK","Z","Midday",0.00758828872289413,28.040380636851,0.00969537404867319,179548,"N"
"533","BMY","B","Midday",0.0096660852432251,41.588383510195,0.00988153342542977,117890,"N"
"535","BMY","C","Midday",0.00545605746182528,41.5895465504039,0.00999970869584517,1200,"N"
"541","BMY","J","Midday",0.00972331809569582,41.5845623287409,0.00978306361607143,188920,"N"
"544","BMY","K","Midday",0.00778117932771382,41.6003342081778,0.008534894050609,298625,"N"
"547","BMY","N","Midday",0.00945728414722401,41.5979680555234,0.00975117601836636,449413,"N"
"550","BMY","P","Midday",0.00760048259388317,41.566870359941,0.00969551433216442,380703,"N"
"553","BMY","Q","Midday",0.00767188320875386,41.5805647693854,0.00991757419931703,427132,"N"
"556","BMY","W","Midday",0.0098247862698739,41.6057892514948,0.0101756045692845,8900,"N"
"559","BMY","X","Midday",0.010188120716023,41.5852827396033,0.00981082556382665,20600,"N"
"562","BMY","Y","Midday",0.00972881627557075,41.5962928302896,0.00990965913907098,76884,"N"
"565","BMY","Z","Midday",0.00717796887154187,41.5788116009204,0.00958001933572612,337436,"N"
"571","BRK.B","B","Midday",0.0161292783675655,104.803548751339,0.0212901946037046,3700,"N"
"572","BRK.B","C","Midday",0.0499954223632812,105,0.0100021362304688,200,"N"
"578","BRK.B","J","Midday",0.0118051698083907,104.876177353232,0.0148626205024369,33675,"N"
"581","BRK.B","K","Midday",0.0119043740881495,104.856771188759,0.0143134611198701,71458,"N"
"584","BRK.B","N","Midday",0.0132556867665623,104.852477037956,0.0166505556992783,355475,"N"
"587","BRK.B","P","Midday",0.00933916205601976,104.833038127975,0.0135929537135244,79491,"N"
"590","BRK.B","Q","Midday",0.00871592930385045,104.863709763118,0.0140270641871861,155788,"N"
"592","BRK.B","W","Midday",0.0128566196986607,104.942856924874,0.0185721261160714,700,"N"
"593","BRK.B","X","Midday",0.0099945068359375,104.690002441406,0.0099945068359375,100,"N"
"596","BRK.B","Y","Midday",0.0123233918220766,104.843225639097,0.014258304719002,15900,"N"
