"","symbol","exchange","timegrp","effectiveSpread","price","spread","size","primary exchange"
"78","ACN","C","Midday",0.008001708984375,76.6959991455078,0.008001708984375,500,"N"
"84","ACN","J","Midday",0.010538570697491,76.7420191251315,0.0128839052640475,28289,"N"
"87","ACN","K","Midday",0.00916206073550462,76.7383110433751,0.0121851198983771,51695,"N"
"90","ACN","N","Midday",0.0102634664249654,76.7558537701131,0.0136117396249232,144535,"N"
"93","ACN","P","Midday",0.0090327382514981,76.7456032355342,0.0122338024946097,101993,"N"
"96","ACN","Q","Midday",0.0084739006002536,76.7494066381538,0.012294802574171,133539,"N"
"98","ACN","W","Midday",0.0153832068810096,76.7961537287785,0.0169219970703125,1300,"N"
"99","ACN","X","Midday",0.0100002288818359,76.7124996185303,0.0100002288818359,400,"N"
"102","ACN","Y","Midday",0.0109240018404447,76.7063848642203,0.0126160841721755,6981,"N"
"105","ACN","Z","Midday",0.00913529518323067,76.7228445028647,0.0121313975407527,67003,"N"
"110","AEP","B","Midday",0.00826711018880208,48.3973998514811,0.0100001017252604,19416,"N"
"111","AEP","C","Midday",0.00833320617675781,48.2849992116292,0.00833320617675781,700,"N"
"117","AEP","J","Midday",0.00911042246857101,48.3942991087058,0.00940681724856806,48602,"N"
"120","AEP","K","Midday",0.00878244765261386,48.3909810068478,0.00894789549194047,97584,"N"
"123","AEP","N","Midday",0.00905972804749411,48.4394724540163,0.00909075668553987,177374,"N"
"126","AEP","P","Midday",0.00838446044921875,48.5303439147949,0.0107680297851562,77898,"N"
