Row Labels;B;C;D;J;K;M;P;Q;W;X;Y;Z
JNK;1400;;14449;400;1200;;10679;8408;;;2583;13104
JO;;;800;;;;;;;;;
JUNR;;;451;;;;;;;;;
KBE;250;;15695;;200;;2700;2500;100;1400;;3300
KBWC;;;;;;;437;;;;;
KBWD;;;;;100;;;;;;;
KBWY;;;5400;200;;;200;;;;;
KIE;;;165;;;;1900;;;;;
KOL;;;700;100;100;;1550;100;;;;100
KOLD;;;500;100;200;;;400;;;;
KRE;;;562;;;;400;200;;;;400
KRU;;;;;;;188;;;;;
KXI;;;350;;;;;;;;;
LBND;;;404;;;;;;;;;
LIT;;;1472;;1400;;400;;;;;
LQD;;;3265;;300;;2194;1400;;;;1700
LTPZ;;;100;;;;;;;;;
LWC;200;;8400;;200;;100;400;;;;
MATL;;;;;;;;;;;;200
MBB;;;935;;;;400;1500;;;;
MCHI;;;700;800;;;8620;600;;;;
MDD;;;;;;;161;;;;;
MDY;900;;7434;100;2300;900;3315;3900;100;300;;3152
MDYV;;;;;;;100;;;;;
MES;;;;;;;;100;;;;
MGC;;;;;310;;1000;200;;;;200
MGK;;;;;;;225;;;;;
MGV;;;208;;;;100;100;;100;;
MIDU;;;1100;;100;;;;;;;
MIDZ;;;;;;;;100;;;;
MINC;;;398;;;;617;;;;;
MINT;;;1430;;;;;;;;;
MLN;;;100;;;;;;;;;
MLPA;;;770;;;;;100;;;;300
MLPG;;;150;;;;;;;;;
MLPI;;;675;200;;;4200;1000;;;;
MLPL;;;5000;;;;;;;;;
MLPN;;;100;;;;;;;;;
MOAT;;;;109;200;;;;;;;100
MONY;;;100;;;;;;;;;
MOO;100;;1800;100;300;;6020;200;;;;200
MORL;;300;;;;;;;;;;
MORT;;;1260;100;;;100;;;;;100
MTK;;;;;;;1245;;;;;
MUB;;;300;;200;;526;;;;;700
MUNI;;;1394;;;;;;;;;
MVV;;;1264;;;;100;100;;;;
MXI;;;;;;;224;;;;;450
MYY;;;;;;;100;;;;;
MZZ;;;787;;;;200;;;;;
NGE;;;;;;;100;;;;;
NIB;;;600;100;;;;;;;;
NKY;;;5100;;;;6000;;;;;
NLR;;;;;;;100;;;;;
NORW;;;372;;;;;;;;;
NUGT;4300;13000;352777;1600;12805;;38891;12902;;1700;200;11600
OEF;100;;2443;600;600;;;200;;;300;
OIH;2600;;34785;1800;13879;;16883;13250;;100;3350;16067
OIL;;;10625;;150;;2300;;;;;200
PALL;100;;19339;;600;;1600;;;;;700
PBE;;;1600;;;;;;;;;614
PBJ;;;100;;;;600;;;;;
PBP;;;1200;100;;;;;;;;
PBS;;;1381;;;;;;;;;
PBW;;;100;;600;;700;;;;;1700
PCEF;;;1955;;;;;;;;100;
PCY;;;6794;;100;;460;100;;;;100
