"","A","B","C","D","J","K","M","N","P","Q","W","X","Y","Z"
"LAWS",0,300,0,6681,300,500,0,0,500,1800,0,0,600,1400
"LAYN",0,4754,0,100934,2400,4100,0,0,6900,14642,100,0,547,4300
"LAZ",0,26233,500,175238,6048,29588,0,30494,76502,67824,5020,700,36100,28006
"LBAI",0,400,0,6300,500,2000,0,0,1800,5799,0,0,700,3096
"LBF",0,0,0,1100,0,0,0,800,0,0,0,0,0,0
"LBJ",0,0,0,2660,0,0,0,0,3448,0,0,0,0,660
"LBND",0,0,0,550,0,100,0,0,2454,100,0,0,0,0
"LBTYA",0,5800,500,303842,6549,51797,0,0,33573,110848,900,0,7100,45335
"LBTYK",0,5970,100,81044,1600,14061,0,0,19629,46862,900,400,1700,21941
"LBY",1200,100,0,3600,0,600,0,0,900,1094,0,0,0,100
"LCAV",0,0,0,850,0,0,0,0,100,100,0,0,0,0
"LCC",0,62190,9865,4395525,124840,549058,0,386122,547103,495286,19750,6000,67184,213770
"LCI",1188,1200,100,18455,500,900,0,0,2600,1100,0,0,400,503
"LCM",0,0,0,3049,0,0,0,1292,4682,0,0,0,0,492
"LCNB",0,300,400,1900,0,100,0,0,0,1000,100,0,0,0
"LCUT",0,0,0,4300,0,1100,0,0,6050,900,0,0,0,100
"LD",0,0,0,452,0,0,0,0,0,100,0,0,0,100
"LDF",0,0,0,6228,0,0,0,200,0,0,0,0,0,700
"LDK",0,8800,0,691739,6599,27132,0,25163,13477,12089,100,400,3900,5314
"LDL",0,0,0,1600,0,100,0,3300,2700,400,0,0,0,300
"LDP",0,8899,400,48720,5249,1512,0,13040,2100,600,0,2900,3287,3006
"LDR",0,500,0,7068,0,0,0,1400,200,400,500,0,0,200
"LEA",0,22623,800,130247,5623,44728,0,33957,37709,48582,2500,200,5500,34539
"LEAP",6200,9900,100,284326,28891,127249,0,0,56115,139337,42300,200,15800,56174
"LECO",0,14200,0,192728,6400,26100,0,0,47029,66087,300,0,4452,35157
"LEDD",0,0,0,800,0,0,0,0,0,0,0,0,0,0
"LEDS",0,2500,0,212189,1900,94056,0,0,3279,12400,0,200,3600,5899
"LEE",0,800,600,135183,611,16951,0,10300,20400,23400,0,0,1900,2700
"LEG",0,4900,300,136244,12597,19084,0,88055,34105,48477,3300,4400,2800,23052
"LEI",0,0,0,8765,0,0,0,0,200,600,0,0,100,100
"LEMB",0,4100,0,36764,600,3200,0,0,9064,1800,0,0,0,1700
"LEN",0,55247,3475,1379899,51523,426135,200,404702,304159,384925,32600,22100,16670,191850
"LEO",0,0,0,33321,0,100,0,9121,627,600,100,0,0,6271
"LF",0,17201,200,266540,14088,40301,0,103951,26760,33965,14906,300,3000,23775
"LFC",0,7300,0,15797,700,3360,0,15238,13985,7800,300,0,700,3500
"LFL",0,3200,0,33700,1100,24154,0,67079,13600,7353,1700,0,600,2700
"LFUS",0,900,0,23505,500,1900,0,0,2700,11845,0,0,300,3000
"LFVN",0,3000,916,100694,10200,8377,0,0,10100,31990,1800,200,4600,17374
"LG",0,2510,100,65838,667,9074,0,21297,9963,11519,700,0,2500,5412
"LGCY",0,1300,0,89662,400,9939,0,0,4106,18860,0,0,800,2590
"LGF",0,27581,300,852286,24150,83862,0,135372,133581,119917,5700,2700,11400,74797
"LGI",0,100,100,35819,0,1000,0,2620,250,1550,0,0,0,1000
"LGL",0,0,0,2503,0,603,0,0,0,0,0,0,0,0
"LGLV",0,0,0,157,0,0,0,0,150,0,0,0,0,0
"LGND",0,1600,0,144612,1000,3684,0,0,9709,11543,100,0,500,3300
"LGP",0,1200,450,21168,0,788,0,4061,1000,1200,0,300,0,800
"LH",0,62890,200,238197,9671,28273,0,65775,70760,38025,3200,9800,5835,38643
"LHCG",0,100,0,4455,100,800,0,0,1400,2300,0,0,100,1800
"LHO",0,8000,0,76664,5340,32124,0,82817,33817,23015,3400,1400,3300,16452
"LIFE",0,99808,1495,795885,101260,54383,0,0,91637,237381,13252,1300,28664,216938
"LII",0,12500,100,63663,800,38813,0,49445,13583,15400,400,400,5100,15367
"LIME",0,0,0,3427,0,0,0,0,0,1950,0,0,0,0
"LINC",0,0,0,5777,0,1800,0,0,400,5300,0,0,0,489
"LINE",0,2223,500,309677,7214,41538,0,0,29823,107639,1600,0,2200,11947
"LINTA",900,18500,600,868255,43298,43498,0,0,71241,258468,1300,1100,6800,152176
"LION",0,0,0,3300,0,800,0,0,900,2325,0,0,0,0
"LIOX",0,0,0,30427,300,2167,0,0,4101,19048,0,0,292,3400
"LIT",0,0,0,1364,0,0,0,0,0,1900,0,0,0,100
"LIVE",0,100,0,138836,1078,18237,0,0,3400,6484,0,0,100,300
"LIWA",0,0,0,13996,100,1550,0,0,700,4100,0,0,0,500
"LKFN",0,200,0,3207,300,900,0,0,1000,1400,0,0,0,600
"LKQ",0,3600,1300,201035,25126,34972,21400,0,78217,135591,9461,300,3600,72047
