"","A","B","C","D","J","K","M","N","P","Q","W","X","Y","Z"
"ENZ",0,400,0,8862,700,900,0,1144,2609,500,400,0,100,1200
"ENZL",0,0,100,26141,2100,300,0,0,7228,4100,500,0,100,3700
"ENZN",0,1100,0,15573,1300,900,0,0,3300,11054,100,0,300,1400
"EOC",0,2100,0,9561,200,1000,0,8309,1500,600,200,600,0,1500
"EOD",0,400,0,101135,3800,4577,0,5200,14028,2408,200,0,800,2432
"EOG",0,75012,1200,346568,22200,69184,0,106348,86131,107439,2400,2900,14990,67081
"EOI",0,4100,400,74728,300,3825,0,18378,1742,209,700,0,2109,400
"EONC",0,0,0,130,0,0,0,0,0,0,0,0,0,0
"EOPN",0,900,0,101386,3386,5254,0,0,7500,24926,300,0,300,8100
"EOS",0,800,0,71137,1110,1150,0,10005,800,900,300,0,2815,5080
"EOT",0,100,0,13582,0,0,0,1958,400,0,0,0,0,0
"EOX",3300,2700,0,53154,400,12600,0,0,11101,2700,200,0,530,700
"EPAM",0,400,0,29234,200,1600,0,3709,10397,1300,0,0,100,2300
"EPAX",0,0,0,3960,100,1400,0,0,500,300,0,0,100,0
"EPAY",0,4700,197,30376,1800,8210,0,0,17686,27778,0,1100,1100,16401
"EPB",0,2600,0,94657,700,9267,0,17998,9883,13523,600,100,1000,3600
"EPD",0,6600,0,332960,5843,33559,100,24197,47839,31898,500,1200,4300,16436
"EPHE",0,2721,0,62565,18800,7218,0,0,61508,28191,200,0,1100,5200
"EPI",0,64968,2500,538185,52824,49525,0,0,414873,55048,700,5400,38811,120807
"EPIQ",0,1800,0,21183,300,2700,0,0,2400,8425,100,0,100,4209
"EPL",0,6400,100,71573,4000,5817,0,25909,15512,9652,0,0,2950,7661
"EPM",300,100,0,8054,0,400,0,0,600,1841,0,100,0,0
"EPOL",0,4700,0,28675,500,1000,0,0,104576,1365,100,0,4900,2400
"EPP",0,4110,100,253702,20733,12300,0,0,177085,70539,200,700,4610,56464
"EPR",0,4900,200,36826,1520,5043,0,42537,6735,15166,800,400,1100,4804
"EPS",0,0,0,200,0,0,0,0,200,0,0,0,0,0
"EPU",0,1200,0,34225,3600,2900,0,0,9690,2134,300,0,300,5619
"EPV",0,1000,0,113522,400,7138,0,0,5742,4740,0,0,0,4838
"EQIX",0,12000,2500,179414,17260,27181,0,0,44708,78219,0,0,7879,29972
"EQL",0,0,0,3069,621,200,0,0,500,0,0,0,0,100
"EQM",0,900,0,12417,0,1000,0,994,1500,536,0,0,0,200
"EQR",0,11676,100,162571,12300,75490,0,63113,55508,80902,9600,2100,6266,52151
"EQS",0,0,200,6572,0,0,0,241,0,0,0,0,0,0
"EQT",0,43765,3200,367278,68370,39886,0,71805,60003,110435,7200,12125,14302,79556
"EQU",0,0,0,19024,200,800,0,1700,9654,1100,0,0,0,300
"EQY",0,6000,100,29916,3395,8502,0,38804,14205,7641,6000,100,1800,12534
"ERA",0,1600,400,32607,400,1652,0,6298,2700,1400,0,0,200,300
"ERB",0,0,0,2400,0,0,0,0,0,400,0,0,0,0
"ERC",15681,4254,0,27368,600,4633,0,0,3517,5539,100,300,5254,1700
"ERF",0,14340,2100,240817,9455,26492,0,31531,38830,40890,7000,2700,4000,27483
"ERH",200,0,0,47875,0,154,0,0,2600,0,0,0,0,0
"ERIC",2500,102074,600,1497205,138188,157315,0,0,296170,286293,2600,14900,53438,418300
"ERIE",0,200,0,2975,0,300,0,0,200,4408,0,0,300,100
"ERII",0,800,1100,66655,1100,30158,0,0,3700,21270,0,300,1400,5400
"ERJ",0,149950,100,157511,5700,31756,0,77231,34179,42311,1800,1800,9902,36278
"EROC",0,1000,0,178957,2350,11355,0,0,8796,17588,300,0,500,5449
"ERUS",0,0,150,21657,100,0,0,0,38570,1600,0,0,0,7300
"ERX",0,8202,500,213480,9320,29545,0,0,15648,39951,0,0,4746,23937
"ERY",0,5751,0,136948,22113,50975,0,0,26222,57505,0,100,50250,38429
"ESBF",0,0,0,4625,0,300,0,0,770,2600,0,0,100,100
"ESBK",0,0,0,127,0,200,0,0,0,0,0,0,0,0
"ESC",0,3900,100,12300,1300,7500,0,12406,3300,3854,1200,300,1500,1700
"ESCA",0,0,0,3840,0,0,0,0,100,200,0,0,0,0
"ESD",0,100,0,48541,0,2779,0,4485,5864,5209,0,0,0,1600
"ESE",0,1600,0,19400,2700,5216,0,9963,3609,2300,100,0,1300,4093
"ESEA",0,0,0,21868,200,100,0,0,0,100,0,0,0,0
"ESGR",0,0,0,16274,181,1900,0,0,1200,1600,0,0,0,500
"ESI",0,21100,400,89555,6314,27805,0,37941,17244,29045,600,500,7100,22303
"ESIO",0,2300,100,38439,600,1788,0,0,2494,10474,0,0,400,8738
"ESL",0,11998,600,22543,1500,2200,0,18266,7510,6020,600,100,900,7601
"ESLT",0,0,0,570,0,0,0,0,100,0,0,0,0,0
"ESP",700,0,0,2098,0,0,0,0,300,502,0,0,0,0
"ESR",0,0,0,100,0,0,0,0,1800,0,0,0,0,0
"ESRX",0,14455,300,1660452,51197,397921,0,0,167826,322015,2200,900,13476,171507
"ESS",0,2400,200,25339,1300,2452,0,13530,6945,7907,100,600,800,4429
"ESSA",0,0,0,100,0,100,0,0,0,200,0,0,0,0
"ESSX",0,100,0,9340,0,200,0,0,100,800,0,0,0,400
"ESTE",100,0,0,1250,0,300,0,0,0,0,0,0,0,0
"ESV",0,16000,1100,301282,8800,32883,0,67461,82952,74445,6800,600,8500,36586
"ESXB",0,0,0,1080,0,200,0,0,0,100,0,0,0,200
"ESYS",0,0,0,800,0,100,0,0,0,600,0,0,0,300
"ETAK",6800,200,100,70629,200,5500,0,0,900,4225,100,0,3023,900
"ETB",0,1400,0,31046,200,1993,0,15311,3400,1500,100,0,500,400
"ETE",0,15009,100,246026,2200,21266,0,39220,28828,26555,7620,300,1200,13121
"ETF",1839,0,0,2341,0,0,0,0,2920,0,0,0,0,0
"ETFC",16600,25725,1781,1339098,57133,148554,0,0,159156,193726,3800,25600,44100,302347
"ETG",0,1000,0,105748,200,2000,0,7700,8504,2367,200,0,600,497
"ETH",0,4300,200,48111,500,14901,0,36973,12452,9708,700,200,1237,11483
"ETJ",0,1800,1100,225950,1620,24746,0,50409,10010,6200,1800,0,4200,900
"ETM",0,300,0,22600,0,5562,0,2594,4312,993,0,100,0,200
"ETN",0,23343,1200,1030718,19394,79514,0,201456,101998,185914,6300,4480,6263,112179
"ETO",0,0,0,10561,0,440,0,5703,400,501,100,100,100,100
"ETP",0,14300,800,404732,13946,29664,0,46179,43352,48792,1200,900,1200,18546
"ETR",0,15686,2900,231933,17214,77021,0,108653,77713,75278,5100,8100,8300,52422
"ETRM",0,200,900,89172,800,11917,0,0,3500,30500,0,0,200,3296
"ETUB",0,0,0,4870,0,0,0,0,2230,0,0,0,0,0
"ETV",0,700,600,145878,1100,11125,0,20044,8685,1000,200,0,400,900
"ETW",0,800,0,126705,2229,4361,0,22966,713,860,400,0,4726,1400
"ETX",0,0,0,0,0,0,0,610,0,0,0,0,0,0
"ETY",0,6500,1088,227493,7377,10479,0,39005,8700,9681,5300,100,5331,5800
"EU",0,0,0,239,0,0,0,0,0,0,0,0,0,0
"EUFN",0,0,0,9070,0,300,0,0,13800,4100,0,0,0,14540
"EUFX",0,0,0,263,0,0,0,0,0,0,0,0,0,0
"EUM",0,0,0,31855,2436,1300,0,0,5999,2511,0,0,0,770
"EUO",0,7200,1900,633712,5117,68670,0,0,25278,15766,200,100,5600,41763
"EUSA",0,0,0,550,0,0,0,0,400,100,0,0,0,0
"EV",0,8579,300,77302,2490,52585,0,27657,24131,30800,4600,300,4100,15490
"EVAC",0,0,0,100,0,0,0,0,0,0,0,0,0,0
"EVAL",0,0,0,241,0,0,0,0,0,0,0,0,0,0
"EVBN",0,0,0,100,0,0,0,0,0,0,0,0,0,0
"EVBS",0,0,0,6692,0,1100,0,0,0,2229,0,0,0,2200
"EVC",0,9200,997,302449,6686,32152,0,33945,32897,44880,5100,0,1439,14439
"EVEP",0,14300,1100,168140,900,6383,0,0,28087,20072,0,100,1900,15185
"EVER",0,6600,0,140662,4400,19102,0,18046,29217,15702,400,400,1400,8602
"EVF",0,200,0,35284,100,1400,0,8546,4525,2700,0,0,3808,6895
"EVG",0,0,0,11020,0,6310,0,2764,200,5589,0,0,200,300
"EVI",0,0,0,5400,0,0,0,0,0,0,0,0,0,0
"EVJ",300,0,0,2044,0,0,0,0,300,0,0,0,100,939
"EVK",300,100,0,577,0,0,0,0,123,400,0,0,0,0
"EVM",0,0,0,18555,0,1800,0,0,11000,883,200,0,0,1900
"EVN",0,400,500,29550,0,300,0,5000,600,0,100,0,373,100
"EVO",101,0,0,603,0,500,0,0,0,0,0,0,0,0
"EVOL",0,0,0,11500,0,3700,0,0,0,0,0,0,0,100
"EVP",600,0,0,1800,0,100,0,0,300,800,0,0,0,100
"EVR",0,7400,200,78344,2100,6832,0,27200,18747,11487,2200,0,2600,10947
"EVT",0,5655,0,59631,100,6134,0,7721,920,1543,0,0,0,600
"EVTC",0,18800,100,305098,14391,17087,0,24388,19202,36361,0,2100,14558,35440
"EVV",7910,8219,100,125474,2707,10377,0,0,4400,1100,4630,200,14024,8679
"EVX",0,0,0,100,0,0,0,0,0,0,0,0,0,0
"EVY",0,0,0,2796,0,2025,0,0,348,0,0,0,0,252
"EW",0,31340,400,369692,9418,51852,0,149083,95827,73562,4700,2500,3500,73900
"EWA",0,15890,200,226791,50853,39852,0,0,157778,38023,0,600,9182,98872
"EWAS",0,0,0,100,0,0,0,0,700,0,0,0,0,1300
"EWBC",0,5539,400,218109,11870,42443,0,0,59804,140934,3100,200,14200,119671
"EWC",0,20395,200,343865,26811,31192,0,0,140930,53539,200,3200,16207,69055
"EWD",0,0,0,92463,800,5037,0,0,64239,14892,219524,0,1100,13415
"EWEM",0,0,0,125,0,0,0,0,0,0,0,0,0,100
"EWG",0,12098,765,396001,109997,41381,0,0,278920,141950,200,13200,15976,196822
"EWGS",0,0,0,650,0,0,0,0,0,0,0,0,0,650
"EWH",0,3592,0,464463,50685,30793,0,0,342990,59537,400,6400,1810,146805
"EWHS",0,0,0,895,0,0,0,0,100,0,0,0,0,0
"EWI",0,4520,351,868635,44041,40125,0,0,273358,73108,0,1000,12150,304734
"EWJ",0,3145209,400,8631680,5707517,1211760,0,0,6266175,686176,57701,124500,2448886,3366053
"EWK",0,0,0,21931,0,100,0,0,28900,1000,0,0,0,9600
"EWL",0,900,100,53948,900,2021,0,0,61544,21592,0,0,0,39831
"EWM",0,24191,0,301184,102387,17706,0,0,420658,77710,2780,8600,16466,84018
"EWN",0,0,0,17278,0,0,0,0,26100,5400,0,0,400,17046
"EWO",0,0,100,9334,400,0,0,0,3500,0,0,0,100,700
"EWP",0,400,200,79103,2300,1325,0,0,478511,87928,0,0,200,173307
"EWQ",0,25300,0,49427,39525,7817,0,0,94155,36721,0,0,5100,116241
"EWRI",0,0,0,4984,0,0,0,0,0,0,0,0,0,0
"EWRM",0,0,0,5254,0,900,0,0,1589,500,0,0,0,1900
"EWRS",0,0,0,554,0,0,0,0,101,0,0,0,0,0
"EWS",0,12472,0,304940,62623,21601,0,0,523262,30663,300,900,8059,84095
"EWSS",0,0,0,2082,0,0,0,0,1300,0,0,0,0,0
"EWT",0,71087,2900,652660,294156,34910,0,0,506312,173275,3900,1600,38928,182092
"EWU",0,1290,0,196578,28261,15060,0,0,50655,60020,0,4000,6600,107245
"EWUS",0,0,0,0,0,0,0,0,0,0,0,0,0,3100
"EWV",0,19900,0,148645,0,103900,0,0,5800,2100,0,0,100,1300
"EWW",0,6062,1550,385962,26660,64219,0,0,384333,114344,500,2900,6100,191834
"EWX",0,0,0,11606,200,300,0,0,2800,7998,0,0,0,400
"EWY",0,14570,900,257122,12169,18725,0,0,377534,65017,100,8671,7000,124338
"EWZ",0,58456,16300,1474342,140594,332176,0,0,1555606,561822,20276,29900,51212,776587
"EWZS",0,100,0,6415,0,0,0,0,10314,1400,0,0,0,9000
"EXA",0,100,0,23200,100,100,0,0,4645,500,0,200,0,1128
"EXAC",0,200,0,9200,200,0,0,0,500,400,0,0,0,697
"EXAM",0,900,100,26343,1100,4100,0,5400,15042,1300,100,0,100,1300
"EXAR",0,2000,0,8689,1200,3200,0,0,1300,5900,100,0,4000,4323
"EXAS",0,27059,2928,1495533,64094,196639,0,0,272840,285174,2900,500,17959,151540
"EXC",0,58355,2100,1464214,78941,224644,0,324583,128090,357783,67842,17148,59186,178646
"EXD",0,600,0,9537,0,200,0,2764,1812,0,0,0,200,0
"EXE",0,0,0,2700,0,0,0,0,0,0,0,0,0,0
"EXEL",1600,17400,300,1014088,75699,124836,0,0,85671,225456,800,900,11200,76959
"EXFO",0,1300,0,3226,600,0,0,0,0,900,0,0,0,1200
"EXG",0,9283,0,593335,24600,33392,0,61825,19630,13632,2450,3600,19536,12800
"EXH",0,3800,0,52005,4800,6824,0,36740,28232,24413,1100,1000,3500,6410
"EXI",0,0,200,2672,0,1500,0,0,2691,100,0,0,0,2246
"EXK",0,26000,1700,320404,12900,53902,0,63368,48042,30893,1900,2300,13958,32577
"EXL",0,1800,0,5692,500,2100,0,10508,1700,5102,741,200,1600,1200
"EXLP",0,1700,0,40636,1000,8715,0,0,7080,10958,0,0,400,100
"EXLS",0,1000,100,32615,3385,200,0,0,2200,5145,0,0,500,1544
"EXP",0,69915,300,52942,7400,24537,0,36851,37869,33330,3100,5200,5000,47355
"EXPD",0,11681,600,287637,21400,39741,0,0,38621,171053,1400,0,6658,44138
"EXPE",0,20900,800,434072,28125,55754,0,0,115798,204237,1000,1100,14100,113254
"EXPO",0,400,0,13055,800,1679,0,0,3300,20688,0,0,500,5400
"EXPR",0,3100,600,104288,8298,26613,0,56885,53107,38629,2200,0,2900,62473
"EXR",0,14299,0,62996,3200,13261,0,57538,21808,23011,2000,600,3700,17500
"EXTR",900,7407,0,91767,4200,3114,0,0,4293,21000,1400,0,3229,17862
"EXXI",0,6100,600,183805,12761,38302,0,0,57254,122301,1100,100,4800,30766
"EZA",0,2500,0,33968,1400,1200,0,0,128260,8545,0,400,200,12680
"EZCH",0,2500,0,65101,800,4700,0,0,7256,20659,0,0,100,2600
"EZJ",0,0,200,5618,0,100,0,0,300,0,0,0,0,0
"EZM",0,0,0,8671,0,0,0,0,1023,0,0,0,0,0
"EZPW",0,4400,0,195635,7200,48266,0,0,37511,39758,1500,100,13000,14208
"EZU",0,1200,0,88279,6180,6800,0,0,254638,165669,100,500,200,114321
"F",0,1072980,41360,11860260,1055075,1127672,0,2043845,1322387,1314662,68322,294122,533855,1652901
"FAB",0,0,0,4671,0,0,0,0,900,0,0,0,0,0
"FAC",0,700,0,4164,500,0,0,0,0,0,0,0,0,100
"FAD",0,0,0,228,0,0,0,0,242,0,0,0,0,0
"FAF",0,4783,100,79750,14600,17773,0,46316,26356,16055,1900,100,8500,12401
"FALC",0,0,0,27270,400,2144,0,0,3040,9090,100,0,300,1100
"FAM",0,0,100,29699,0,1230,0,4223,1385,0,0,0,100,0
"FAN",0,0,0,5960,0,0,0,0,500,0,0,0,0,0
"FANG",0,3926,200,13592,2100,2500,0,0,16422,11630,500,100,900,3000
"FARM",0,100,0,7336,0,700,0,0,300,1200,0,0,0,600
"FARO",0,1800,0,8724,0,500,0,0,1100,5562,0,0,100,1600
"FAS",0,37094,4765,1227610,118045,466355,0,0,128581,564951,1900,8865,66392,484735
"FAST",0,6000,200,214936,11324,58586,0,0,45698,85535,1700,0,4627,34180
"FAV",0,400,0,25927,0,0,0,5600,600,300,0,0,0,100
"FAX",17311,2400,800,405814,3399,18394,0,0,27741,38183,800,1000,4223,11033
"FAZ",0,15298,1250,1273120,89052,817641,0,0,104117,407253,400,1600,84054,1254564
"FB",38754,103601,23551,7713057,295807,1370145,0,0,936497,1108088,55920,36083,182432,1082586
"FBC",0,4900,1150,84426,5400,19250,0,35303,31135,18872,1500,1600,1400,7430
"FBG",0,0,0,7125,0,400,0,0,5540,6115,0,0,0,0
"FBHS",0,11727,1800,439177,10773,24322,0,58876,33528,51229,2700,100,9488,36217
"FBIZ",0,0,0,752,0,0,0,0,0,300,0,0,0,0
"FBMI",0,0,0,0,0,1100,0,0,0,100,100,0,0,0
"FBMS",0,0,0,0,0,0,0,0,0,200,0,0,0,0
"FBNC",0,0,0,5400,100,400,0,0,0,5558,0,0,0,300
"FBNK",0,400,0,2860,0,600,0,0,1800,5699,100,0,0,4200
"FBP",0,4500,100,319459,1795,7552,0,19871,3500,6313,2400,500,1900,4000
"FBR",0,78459,1100,220336,23763,20359,1000,126152,79444,93549,5700,9100,9100,126017
"FBRC",0,400,118,10315,0,300,0,0,600,900,0,0,100,400
"FBT",0,0,100,23352,0,390,0,0,7524,1868,0,0,0,2761
"FC",0,100,200,3782,0,0,0,500,300,400,0,0,0,300
"FCAN",0,0,0,108,0,0,0,0,0,0,0,0,0,0
"FCBC",0,1400,0,15263,1000,3317,0,0,4200,3800,0,0,1100,1900
"FCCY",0,0,0,200,0,0,0,0,0,0,0,0,0,0
"FCEL",2900,100,4325,593849,11406,21704,0,0,9800,32396,0,0,3332,5800
"FCF",0,21400,700,148696,9143,21455,0,126429,32095,45593,2700,1900,4050,37275
"FCFS",0,4700,0,85238,800,4700,0,0,6200,16461,0,100,3100,17257
"FCG",0,7700,250,61884,5279,3558,0,0,32988,24460,0,1300,2211,27836
"FCH",0,8851,6299,102976,4894,10572,0,47962,19473,28839,700,1100,1489,8762
"FCHI",0,0,0,497,0,0,0,0,0,0,0,0,0,0
"FCLF",0,0,0,200,0,0,0,0,0,100,0,0,0,0
"FCN",0,1900,300,18566,7086,8660,0,14004,7130,7231,100,733,200,3800
"FCNCA",0,0,0,1600,200,500,0,0,721,900,100,0,200,500
"FCO",209,0,0,12241,0,0,0,0,2600,1848,0,0,0,0
"FCS",0,25882,600,175055,21300,57794,0,189554,90838,115779,10000,3000,6919,64875
"FCT",0,0,0,67240,183,2900,0,3907,4011,2506,0,0,0,100
"FCTY",0,0,0,950,0,0,0,0,0,200,0,0,0,0
"FCVA",0,0,0,700,0,0,0,0,0,300,0,0,0,0
"FCX",0,274322,3271,4253869,148336,545370,100,576346,602311,809386,30513,60600,56546,665267
"FCY",0,0,0,3345,300,0,0,1936,0,0,0,0,0,0
"FCZA",0,0,0,200,0,0,0,0,0,100,0,0,0,0
"FDD",0,0,0,33711,0,400,0,0,1600,7235,0,0,0,1522
"FDEF",0,0,0,3750,0,0,0,0,100,500,0,0,0,0
"FDI",0,0,0,6528,0,100,0,0,868,0,0,0,0,517
"FDL",0,6700,0,165321,1400,2276,0,0,21128,11696,0,100,1100,3322
"FDM",0,0,0,3081,0,200,0,0,668,0,0,0,0,0
"FDML",0,785,200,67201,200,16032,0,0,9500,16784,100,100,5300,3200
"FDN",0,200,0,48043,250,300,0,0,1450,2400,0,0,700,1100
"FDO",0,28200,700,243615,8728,30230,0,59859,62880,84144,4400,3400,4700,29915
"FDP",0,100,0,24275,500,2800,0,27817,6465,4900,600,0,500,5299
"FDS",0,11179,100,38720,2000,9219,0,19824,21161,7500,0,500,5195,12600
"FDT",0,0,0,3874,0,0,0,0,2873,0,0,0,0,400
"FDUS",0,1300,0,33084,400,5500,0,0,1700,5263,0,100,300,1700
"FDX",0,24500,600,591357,4216,86784,0,152932,121508,159586,8700,100,4000,69730
"FE",0,19150,700,373886,20037,38543,0,125332,89337,96652,5400,2100,7816,72272
"FEFN",0,0,0,400,0,100,0,0,162,0,0,0,0,268
"FEI",0,2200,1707,101624,2200,11100,0,42073,3300,1700,0,3800,2850,2100
"FEIC",0,1000,0,10874,300,1200,0,0,1600,6500,100,100,200,2000
"FEIM",0,0,0,52441,0,0,0,0,300,700,0,0,0,100
"FELE",0,900,0,12322,200,1300,0,0,1500,4711,100,0,308,1500
"FEM",0,200,0,35871,1300,500,0,0,19088,14075,0,0,0,6566
"FEMS",0,0,0,1570,0,0,0,0,100,0,0,0,0,0
"FEN",1200,0,0,23996,0,3952,0,0,2826,100,100,100,950,882
"FENG",0,100,700,28178,1200,7400,0,12700,6300,2800,0,0,1400,7100
"FEO",0,0,0,2675,0,0,0,0,100,100,0,0,0,0
"FEP",0,0,0,9366,400,0,0,0,1300,0,0,0,0,300
"FES",0,0,0,13698,0,700,0,0,2100,900,0,0,0,900
"FET",0,5600,0,94114,2000,19832,0,30057,13370,9400,1000,1900,600,12100
"FEU",0,0,0,8985,0,0,0,0,690,0,0,0,0,0
"FEX",0,0,0,49014,100,6217,0,0,12722,13500,0,0,0,6143
"FEZ",0,29934,287,91923,40433,20008,0,0,108030,60432,0,800,26208,210571
"FF",0,1700,0,16333,100,3350,0,9475,1600,1200,100,0,200,1000
"FFA",0,0,0,18835,200,1800,0,2262,0,100,0,0,0,700
"FFBC",0,500,0,4570,600,2423,0,0,1900,8294,100,0,800,4602
"FFBH",0,0,0,373,0,0,0,0,0,900,0,0,0,0
"FFC",0,3200,0,71685,0,2800,0,6837,6975,1800,300,882,1400,2100
"FFCO",0,0,0,0,0,0,0,0,0,100,0,0,0,0
"FFG",0,0,0,5880,100,143,0,900,300,200,0,0,300,600
"FFHL",0,0,0,600,0,900,0,0,0,0,0,0,0,0
"FFIC",0,600,0,8443,500,400,0,0,1000,3600,0,0,500,1100
"FFIN",0,800,0,18678,300,800,0,0,2300,2175,100,0,200,5703
"FFIV",0,12609,3020,292524,6900,69458,0,0,36348,139946,200,0,2695,61745
"FFKT",0,300,0,7365,0,100,0,0,800,1525,300,0,100,2500
"FFKY",0,0,0,0,0,0,0,0,0,100,0,0,0,0
"FFNM",0,0,0,200,0,0,0,0,0,0,0,0,0,0
"FFNW",0,200,0,10850,100,1200,0,0,6688,2400,0,0,100,300
"FFR",0,0,0,3458,0,400,0,0,1967,200,0,0,0,500
"FGB",0,0,0,19816,0,700,0,4350,200,300,0,0,0,100
"FGD",0,0,0,52938,0,800,0,0,8946,1200,0,0,0,2917
"FGM",0,0,0,700,0,0,0,0,0,0,0,0,0,0
"FGP",0,900,1700,75328,100,9447,0,2429,10659,2050,500,0,500,1107
"FHCO",0,600,0,14947,200,3393,0,0,1200,3099,0,0,300,1000
"FHN",0,51322,300,328008,29600,55663,0,165936,71037,137266,9340,31400,13820,98782
"FHY",0,100,0,15018,100,326,0,2715,2187,1400,100,0,0,2200
"FIBK",0,2100,900,68755,1500,2200,0,0,9929,16933,0,0,1500,5173
"FICO",0,900,0,16824,300,2760,0,10393,3400,3900,100,0,200,2600
"FIF",0,1781,0,55903,0,2396,0,11506,1300,5840,0,0,200,200
"FIG",0,7300,500,348409,6800,27901,0,50144,21686,21768,4600,100,4527,17072
"FII",0,7400,300,131518,11800,6500,0,64410,23828,31844,3800,1400,7154,25998
"FILL",0,0,0,100,0,0,0,0,0,0,0,0,0,0
"FINL",0,5600,100,140469,14000,23114,0,0,34793,67839,10700,400,5900,13105
"FINU",0,0,0,1700,0,0,0,0,100,0,0,0,0,0
"FIO",0,48400,3300,1357941,73675,310546,0,203461,234469,198096,11700,900,16638,123920
"FIRE",0,17600,3300,194481,11600,47368,0,0,68653,80396,2050,600,6100,40750
"FIS",0,15263,800,330229,26886,37443,0,168258,45465,108753,19664,1600,6400,45038
"FISI",0,0,0,711,0,800,0,0,598,400,0,0,100,600
"FISV",0,3200,700,62997,4700,8764,0,0,27230,48233,3000,0,5300,15425
"FITB",18700,97903,400,1918621,105704,164533,500,0,339548,716000,4579,21200,50485,485771
"FIVE",0,4600,205,72298,7100,8077,0,0,9334,26617,200,300,13500,25730
"FIVZ",0,0,0,220,0,300,0,0,3150,2700,0,0,0,2700
"FIW",0,0,0,7668,0,600,0,0,513,400,0,0,0,0
"FIX",0,1200,100,4581,0,200,0,7121,2000,1900,200,0,0,600
"FIZZ",0,0,100,7580,0,3702,0,0,0,1475,0,0,0,200
"FJP",0,0,0,1520,0,0,0,0,965,0,0,0,0,0
"FKU",0,0,0,241,0,0,0,0,0,0,0,0,0,0
"FL",0,24400,800,466141,26532,77836,0,159707,109144,177904,7800,9761,9700,69410
"FLAG",0,0,0,350,0,0,0,0,0,0,0,0,0,0
"FLAT",0,0,0,300,200,0,0,0,100,0,0,0,0,0
"FLC",0,700,0,7588,0,2387,0,2349,2588,0,0,0,100,1421
"FLDM",0,600,0,6605,300,100,0,0,2532,1700,0,0,0,1100
"FLEX",5490,108033,0,586507,73655,34150,0,0,74617,157028,11100,7000,54938,249285
"FLIC",0,0,0,100,0,200,0,0,0,0,0,0,0,0
"FLIR",0,3600,0,408202,11595,43666,0,0,49661,80859,800,300,4300,59706
"FLL",0,0,3200,32312,0,10574,0,0,3758,46830,0,0,200,300
"FLM",0,0,0,249,0,0,0,0,0,0,0,0,0,0
"FLML",0,0,0,7067,0,6300,0,0,100,3300,0,0,0,0
"FLO",0,11617,200,138370,10392,14327,0,61345,39162,53981,7000,600,4800,14549
"FLOT",0,100,300,231938,11308,665,0,0,16854,400,48530,0,6068,2200
"FLOW",0,1200,200,24365,600,1400,0,0,1300,8933,0,100,700,7441
"FLR",0,17687,1900,505642,22784,119186,0,109291,175443,153206,11100,4800,15170,45098
"FLRN",0,0,0,5758,0,0,0,0,6900,0,0,0,0,0
"FLS",0,12986,100,76699,900,14164,0,14967,20544,11398,100,200,1359,7600
"FLT",0,10000,600,514014,1500,24094,0,55760,35624,21408,0,400,4000,15366
"FLTR",0,0,0,834,0,0,0,0,0,0,0,0,0,0
"FLTX",0,1400,100,45458,1719,10039,0,2900,2500,500,0,0,100,1400
"FLWS",0,1400,0,76472,2100,18923,0,0,13630,8700,0,0,500,900
"FLXS",0,0,0,3075,800,120,0,0,0,200,0,0,0,0
"FLY",0,300,100,24707,0,2200,0,7703,2525,2300,200,400,100,800
"FM",0,0,0,6423,0,0,0,0,2100,100,0,0,0,1600
"FMBI",0,1300,400,38764,1800,7610,0,0,11500,28691,500,0,2900,14447
"FMC",0,2900,200,99294,7909,11290,0,74163,42924,32191,1064,1300,1700,17211
"FMD",0,200,2413,41827,3822,3908,0,6600,8700,1400,100,0,100,8000
"FMER",0,24096,1200,467108,24586,69548,0,0,85094,159980,2000,1400,21497,108772
"FMK",0,0,0,1792,0,0,0,0,0,0,0,0,0,0
"FMN",0,0,500,30712,0,100,0,2900,600,2500,0,0,0,200
"FMNB",0,0,0,4100,500,1400,0,0,100,2866,0,0,0,0
"FMO",0,500,0,45624,100,1937,0,13695,6491,1736,200,0,100,300
"FMS",0,3800,0,20242,300,600,0,7172,10325,2500,700,0,400,4490
"FMX",0,23150,200,117045,3518,16733,0,27386,37362,24082,1300,500,2600,25727
"FMY",0,0,0,2364,0,881,0,363,0,0,0,0,0,0
"FN",0,4600,200,20729,400,3447,0,17424,7755,6691,1800,1300,100,2400
"FNB",0,2900,800,45321,3202,10116,0,40855,10158,12762,1300,200,3200,14500
"FNF",0,16800,400,728849,16937,68986,0,103652,74705,69174,6300,1100,4464,58194
"FNFG",10835,112831,1221,862993,172634,177271,0,0,181864,350287,91508,15000,71383,249256
"FNGN",0,3600,100,16167,1400,5890,0,0,10191,18237,400,900,1360,4300
"FNHC",0,0,0,2600,0,2000,0,0,0,500,0,0,0,1500
"FNI",0,0,0,5857,300,673,0,0,2500,0,0,0,0,500
"FNIO",0,0,0,120,0,0,0,0,0,0,0,0,0,0
"FNK",0,0,0,7636,0,0,0,0,2558,0,0,0,0,724
"FNLC",0,0,0,1500,0,0,0,0,0,634,0,0,0,0
"FNP",0,27101,300,171815,21789,83241,0,77309,51228,69177,7400,1400,4900,24909
"FNSR",2337,5200,0,1164115,40383,134895,0,0,126210,381603,1300,1100,11000,156010
"FNV",0,10700,0,129482,4600,25231,0,87214,33789,49251,1600,0,400,19500
"FNX",0,0,100,51627,5906,2400,0,0,4069,6428,0,0,100,200
