;A;B;C;D;J;K;M;N;P;Q;W;X;Y;Z
AER;0;500;0;9400;3100;100;0;23115;1880;200;171;0;1200;900
AERL;0;100;0;400;0;200;0;0;0;700;0;0;0;700
AES;0;11878;0;172679;16017;3300;0;35209;4208;25370;1100;800;3987;12117
AET;0;8236;300;20902;1788;1630;0;8942;3139;7069;400;100;1000;3845
AETI;0;0;0;100;0;0;0;0;0;0;0;0;0;0
AEV;0;0;0;3817;0;0;0;300;0;0;0;0;0;0
AEY;0;0;0;100;0;0;0;0;0;0;0;0;0;0
AEZS;0;0;0;2499;100;1100;0;0;100;200;0;0;400;100
AF;0;3260;100;11460;2800;300;0;5668;1667;400;0;0;1540;2200
AFA;0;0;0;0;0;0;0;400;0;0;0;0;0;0
AFAM;0;400;0;1700;200;919;0;0;600;3371;100;0;204;700
AFB;0;0;0;3662;0;0;0;1058;0;0;0;0;0;0
AFCE;0;1300;0;1439;200;700;0;0;400;4335;0;0;100;300
AFFX;0;8128;200;89506;6400;5200;0;0;4948;33416;3300;300;6100;12966
AFG;0;4250;0;16341;2400;490;0;6236;628;500;1400;0;1600;600
AFH;0;0;0;1050;0;0;0;0;0;100;0;0;0;0
AFK;0;0;0;1400;0;100;0;0;0;0;0;0;0;200
AFL;0;24956;200;169453;15045;5682;0;66644;15466;23782;2999;2700;7186;28095
AFOP;0;0;0;345;0;0;0;0;0;300;0;0;0;0
AFQ;0;0;0;0;0;0;0;300;0;0;0;0;0;0
AFSD;0;0;0;100;0;0;0;0;0;0;0;0;0;0
AFSI;0;1800;0;23820;1549;1700;0;0;6500;6944;500;0;500;3800
AFT;0;0;0;128;0;0;0;784;300;0;0;0;0;0
AFW;0;0;0;100;0;0;0;0;0;0;0;0;0;0
AG;0;3919;300;8850;1000;2339;0;7782;4852;5174;2500;100;900;300
AGC;0;400;0;2800;0;0;0;1700;1558;400;0;0;0;0
AGCO;0;800;200;7900;100;2900;0;16233;5265;1100;400;100;200;4695
AGD;0;100;0;4596;502;100;0;4078;0;0;0;0;0;100
AGEN;0;100;0;8403;100;300;0;0;11178;2744;0;0;100;200
AGG;0;2945;0;12837;4162;1135;0;0;3500;10842;0;1000;2300;10925
AGI;0;0;0;903;0;0;0;0;0;1000;0;0;0;0
AGII;0;100;0;508;100;100;0;0;100;353;0;0;0;200
AGIIL;0;0;0;1000;0;0;0;0;100;100;0;0;0;0
AGM;0;0;0;100;0;0;0;100;0;0;0;0;0;0
AGN;0;4560;300;12430;200;1548;0;17071;3171;2315;1489;500;539;4041
AGNC;0;9200;200;86690;4287;14718;0;0;9828;27907;0;100;8034;13100
AGNCP;0;0;0;107;0;200;0;0;0;0;0;0;0;0
AGO;0;7201;0;11685;1400;400;0;9273;2000;2882;200;200;1000;4775
AGQ;0;700;0;20270;2200;800;0;0;5166;5000;0;0;100;634
AGRO;0;300;0;1800;400;200;0;0;0;708;100;0;1100;700
