;A;B;C;D;J;K;M;N;P;Q;W;X;Y;Z
EELV;0;0;0;3046;100;1231;0;0;0;0;0;0;0;0
EEM;0;214436;200;805401;404703;44689;0;0;371963;195083;6618;27700;84078;169157
EEMV;0;0;0;809;200;200;0;0;0;1100;0;0;0;0
EEP;0;1835;0;10060;1207;100;0;1165;300;1800;200;100;900;2500
EEQ;0;200;100;400;0;100;0;1650;518;100;100;0;0;0
EET;0;0;0;555;0;0;0;0;0;0;0;0;0;0
EEV;0;812;0;350;0;0;0;0;600;1100;0;0;898;0
EFA;0;95330;0;374029;94458;11312;0;0;135375;41182;100;5200;20558;131483
EFAV;0;0;0;300;0;0;0;0;100;0;0;0;0;0
EFC;0;100;0;265;0;0;0;300;0;0;0;0;0;0
EFG;0;0;0;300;0;0;0;0;0;0;0;0;0;100
EFII;0;600;0;9229;500;2504;0;0;500;4960;0;0;0;900
EFR;0;0;0;3905;0;300;0;549;0;0;0;0;0;300
EFSC;0;100;0;100;0;0;0;0;449;1600;0;0;0;400
EFT;0;0;0;1827;0;0;0;100;865;0;0;0;0;0
EFU;0;0;0;18755;0;0;0;0;0;3600;0;0;0;100
EFUT;0;0;0;0;0;0;0;0;100;0;0;0;0;0
EFV;0;0;0;394;0;0;0;0;0;0;0;0;0;0
EFX;0;6173;100;10966;700;900;0;7496;1700;3038;1300;300;1427;2400
EFZ;0;0;0;280;0;103;0;0;0;166;0;0;0;200
EGAN;0;0;0;100;0;0;0;0;0;600;0;0;0;0
EGAS;0;0;0;100;0;0;0;0;0;0;0;0;0;0
EGBN;0;300;0;2200;300;0;0;0;300;1000;0;0;0;400
EGF;0;0;0;0;0;0;0;199;0;0;0;0;0;0
EGHT;0;1383;100;7293;400;1800;0;0;1000;5132;100;0;200;3251
EGI;0;500;0;400;0;0;0;0;0;0;0;0;0;0
EGL;0;200;0;910;0;100;0;200;0;300;0;0;0;100
EGLE;0;1000;0;4524;1000;200;0;0;100;5159;0;0;200;2499
EGN;0;200;0;4800;100;100;0;2493;1800;1900;0;0;200;1304
EGO;0;32336;100;78150;3425;12250;0;50136;8299;10477;1200;5100;2100;13200
EGOV;0;1598;0;7895;800;100;0;0;16619;5396;0;0;700;1200
EGP;0;900;100;2907;0;700;0;9608;1715;656;0;0;500;2498
EGPT;0;0;0;2450;0;0;0;0;0;100;0;0;0;0
EGT;0;0;0;2600;400;1973;0;0;0;0;0;0;0;0
EGY;0;2800;0;10400;500;600;0;4642;1958;2700;200;0;700;2635
EHI;0;0;0;1900;100;0;0;1900;500;0;0;0;0;0
EHTH;0;100;0;3300;500;200;0;0;100;2115;0;0;0;300
EIA;0;0;0;0;0;0;0;0;305;0;0;0;0;0
EIDO;0;200;0;2101;700;0;0;0;12200;200;0;0;0;1263
EIG;0;1000;0;4400;100;0;0;3421;466;1600;600;0;0;100
EIM;300;0;0;2700;0;964;0;0;0;0;0;0;0;0
EIO;100;0;0;0;0;0;0;0;0;0;0;0;0;0
EIS;0;0;0;0;0;0;0;0;300;0;0;0;0;0
EIX;0;7900;0;17750;2113;1800;0;15553;2500;6630;0;300;2955;6600
EJ;0;1400;0;1900;0;0;0;500;373;495;220;0;100;300
EL;0;3418;0;17037;700;1900;0;7943;4153;3939;300;1200;1900;2876
ELB;0;200;0;600;0;100;0;797;0;0;0;0;0;0
ELD;0;400;0;3681;100;100;0;0;300;1950;0;0;100;500
ELGX;0;1500;100;3500;1200;1572;0;0;700;4400;0;0;300;2600
ELJ;0;0;0;300;0;0;0;0;0;0;0;0;0;0
ELLI;0;500;0;5325;200;1300;0;1500;1555;0;0;0;100;100
ELN;0;9400;0;110539;8145;4329;0;14002;9700;6306;300;100;6834;10118
ELNK;0;3694;0;12000;2587;1100;0;0;1600;8145;600;300;400;4872
ELON;0;200;0;900;500;100;0;0;0;333;0;0;0;700
ELOS;0;0;0;3000;0;1300;0;0;100;300;0;0;0;427
ELP;0;2527;0;3800;1157;600;0;5366;1610;1665;300;200;600;1800
ELRC;0;0;0;1200;0;0;0;0;200;2552;0;0;0;700
ELS;0;1007;0;3351;500;2840;0;2400;900;2000;200;100;200;1006
ELTK;0;0;0;400;0;0;0;0;0;0;0;0;0;0
ELX;0;6665;0;25168;5429;400;0;19206;1931;8686;1500;100;4826;4014
ELY;0;1800;0;6800;1104;0;0;2390;1100;100;500;100;500;1000
EMAN;0;0;0;100;100;0;0;0;100;100;0;0;0;0
EMB;0;2818;400;27591;100;2400;0;0;2870;654;100;0;400;1300
EMC;0;112417;0;513765;52015;25703;0;139529;80309;56974;20198;17100;13603;57505
EMCB;0;0;0;299;0;0;0;0;0;0;0;0;0;0
EMCI;0;0;0;200;0;0;0;0;0;200;0;0;0;0
EMD;0;0;0;725;0;100;0;100;125;0;0;0;0;0
EME;0;1400;200;4238;1100;900;0;3623;3472;700;300;200;1200;900
EMF;0;0;0;5550;200;300;0;2090;800;0;0;0;200;200
EMFN;0;0;0;162;0;0;0;0;0;0;0;0;0;0
EMHY;0;0;0;0;2000;177;0;0;0;0;0;0;0;1146
EMIF;0;0;0;210;0;0;0;0;0;0;0;0;0;200
EMITF;0;0;0;200;0;0;0;0;0;0;0;0;0;0
EMJ;0;0;0;0;0;0;0;0;100;0;0;0;0;0
EMKR;0;300;0;500;0;100;0;0;600;700;0;0;0;0
EML;0;0;0;100;0;0;0;0;0;0;0;0;0;100
EMLC;0;0;0;5343;500;0;0;0;0;0;0;0;0;0
EMLP;0;0;0;2024;6866;0;0;0;200;0;0;0;0;0
EMMS;0;0;0;100;300;0;0;0;0;100;0;0;0;0
EMN;0;4300;0;11800;1013;1700;0;8098;1600;2600;400;100;334;1370
EMO;0;0;0;2604;0;0;0;200;300;0;0;0;0;0
EMR;0;20380;100;71550;5141;6536;0;147834;1942;14160;700;900;2600;8365
EMT;0;0;0;900;0;0;0;0;0;0;0;0;0;0
EMXX;0;0;0;700;167;700;0;0;0;0;0;0;0;0
EMZ;0;0;0;300;0;0;0;100;0;0;0;0;0;0
ENB;0;2700;0;3250;200;100;0;1340;700;400;0;200;200;900
END;0;704;0;6553;200;100;0;1669;2440;800;0;0;0;100
ENDP;0;4277;100;23300;4400;2800;0;0;2500;9607;800;0;1840;6068
ENG;0;0;0;3300;0;800;0;0;0;200;0;0;0;0
ENH;0;483;0;8534;0;300;0;8152;800;500;700;0;0;300
ENI;0;2700;0;10500;400;676;0;13831;1300;6965;1950;100;635;1867
ENL;0;200;0;100;100;100;0;0;0;0;0;0;0;0
ENMD;0;0;0;100;0;0;0;0;0;0;0;0;0;200
ENOC;0;300;0;700;0;0;0;0;200;4409;0;0;0;500
ENPH;0;100;0;2200;0;600;0;0;439;1111;0;0;0;700
ENR;0;500;200;4125;200;400;0;7718;500;1200;0;0;100;300
ENS;0;800;0;10145;1500;500;0;15575;3640;800;0;0;500;1000
ENSG;0;0;0;200;0;300;0;0;500;600;0;0;0;0
ENT;0;0;0;0;0;0;0;0;1600;0;0;0;0;0
ENTA;0;0;0;600;0;0;0;0;1549;100;0;0;0;0
ENTG;0;5476;300;70847;5400;4574;0;0;4800;12223;1600;0;2700;11376
ENTR;0;300;0;12621;1255;700;0;0;600;11024;300;0;1000;2894
ENV;0;0;0;300;100;0;0;3193;0;0;0;0;200;100
ENVI;0;0;0;100;0;0;0;0;0;0;0;0;0;100
ENX;100;0;0;100;0;0;0;0;100;100;0;0;0;0
ENY;0;0;0;700;0;0;0;0;1000;0;0;0;0;0
ENZ;0;0;0;1201;0;0;0;0;300;0;0;200;0;0
ENZL;0;0;0;676;400;0;0;0;0;0;0;0;0;0
ENZN;0;100;100;543;100;0;0;0;200;920;0;0;100;500
EOC;0;0;0;1600;0;0;0;1995;300;500;100;0;0;200
EOD;0;100;0;300;0;100;0;100;0;0;0;0;0;423
EOG;0;6161;266;19419;1600;3854;0;20294;8481;6584;0;1300;300;9434
EOI;0;200;0;1900;0;0;0;455;723;100;0;0;0;0
EOPN;0;200;0;27109;200;601;0;0;200;500;0;0;100;1000
EOS;0;200;0;4096;348;400;0;1658;0;0;0;0;0;0
EOT;0;0;0;200;0;0;0;100;100;0;0;0;0;0
EOX;800;400;0;4739;400;13310;0;0;315;900;200;200;123;300
EPAM;0;0;0;415;0;100;0;429;200;200;0;0;0;0
EPAX;0;0;0;100;0;0;0;0;0;0;0;0;0;500
EPAY;0;100;0;2011;300;2915;0;0;1100;5662;0;0;0;1400
EPB;0;300;0;3100;200;0;0;1217;2493;1300;300;0;100;1594
EPD;0;3500;300;23387;1600;2758;0;12931;2882;22487;100;0;2300;2560
EPHE;0;0;0;9450;914;400;0;0;3600;600;0;0;0;850
EPI;0;6157;0;53701;15434;3000;0;0;8693;4200;100;700;7239;4083
EPIQ;0;100;0;3747;100;300;0;0;0;3553;0;0;0;300
EPL;0;1300;0;2681;400;1000;0;5747;1919;2767;100;800;100;1200
EPM;300;100;0;300;100;0;0;0;400;600;0;0;0;200
EPOL;0;0;0;4749;200;0;0;0;900;400;0;0;600;100
EPP;0;800;0;35140;6878;300;0;0;29541;17017;0;0;313;6626
EPR;0;800;0;5108;300;600;0;14492;2775;700;100;200;100;1147
EPU;0;100;0;12602;1900;3049;0;0;600;2100;0;0;0;849
EPV;0;0;0;3750;100;0;0;0;881;1044;0;0;200;0
EQIX;0;500;400;5298;200;1000;0;0;1216;7668;0;100;400;1131
EQL;0;0;0;605;505;0;0;0;200;0;0;0;0;0
EQM;0;0;0;100;0;200;0;100;0;0;0;0;0;0
EQR;0;8705;0;39341;5203;10010;0;62204;7548;9506;500;100;5400;9767
EQT;0;4580;100;35300;800;2920;0;10028;3500;7978;800;200;1000;3300
EQU;0;0;0;0;131;300;0;1200;400;200;0;0;0;0
EQY;0;3489;300;3100;600;800;0;6760;2520;1100;1600;100;800;1468
ERA;0;200;100;3700;100;300;0;1242;100;0;0;0;0;0
ERC;1421;0;0;300;200;0;0;0;700;573;0;0;200;100
ERF;0;4200;200;4986;553;358;0;4955;400;1200;700;300;882;1400
ERIC;0;19706;100;246031;38143;7302;0;0;25727;60962;200;1000;11380;24714
ERIE;0;0;0;1200;0;0;0;0;0;2299;0;0;0;0
ERII;0;900;0;3300;500;400;0;0;500;2165;100;0;100;200
ERJ;0;11869;200;12320;1200;1906;0;7899;2453;700;2000;200;1866;4100
EROC;0;750;0;12069;600;100;0;0;0;200;0;0;986;184
ERUS;0;0;0;300;300;0;0;0;3000;500;0;0;0;0
ERX;0;3401;0;9379;663;913;0;0;1600;4449;0;0;1800;3057
ERY;0;2108;0;9496;3800;2500;0;0;2300;3800;0;0;1213;344
ESBF;0;0;0;600;0;100;0;0;100;300;0;0;0;0
ESC;0;1300;0;2378;300;700;0;2296;500;860;400;0;100;100
ESD;0;0;0;11933;0;0;0;500;698;0;0;0;0;100
ESE;0;1176;0;4404;0;200;0;2225;765;200;0;0;100;100
ESEA;0;0;0;200;0;0;0;0;0;200;0;0;0;0
ESGR;0;0;0;200;0;0;0;0;0;794;0;0;0;0
ESI;0;4499;0;8375;1100;1400;0;5712;800;2735;300;0;1800;2100
ESIO;0;0;0;976;0;100;0;0;800;2800;0;0;125;200
ESL;0;1600;0;6000;0;500;0;5063;2331;1000;0;100;100;1000
ESLT;0;0;0;100;0;0;0;0;0;0;0;0;0;0
ESRX;0;5800;0;84967;11679;39522;0;0;21064;75073;600;2400;4588;35030
ESS;0;1600;0;2576;400;200;0;3665;500;614;100;600;400;300
ESSX;0;0;0;900;0;0;0;0;500;500;0;0;0;0
ESV;0;6373;100;30365;3900;3900;0;15490;6500;14297;400;1200;3298;4500
ESXB;0;0;600;0;0;200;0;0;100;100;0;0;0;200
ESYS;0;0;0;0;0;0;0;0;100;0;0;0;0;0
ETAK;200;0;0;4343;200;400;0;0;100;0;0;0;0;0
ETB;0;100;0;421;0;0;0;1903;0;0;0;0;0;0
ETE;0;905;0;23109;400;863;0;2179;300;964;100;0;0;1100
ETFC;0;6889;0;118563;1719;400;0;0;11300;9418;400;0;1942;26873
ETG;0;100;0;3105;0;0;0;300;0;0;0;0;0;0
ETH;0;1670;0;9273;0;1100;0;6801;802;700;200;0;600;100
ETJ;0;500;0;6235;1317;0;0;5862;0;200;0;0;0;0
ETM;0;0;0;200;0;1596;0;261;484;0;0;0;0;0
ETN;0;10147;0;25435;2200;2900;0;12365;2800;3576;100;1500;2500;5161
ETO;0;0;0;3965;0;0;0;760;865;0;0;0;0;200
ETP;0;2700;0;18992;2349;400;0;7177;4557;3887;100;0;300;1200
ETR;0;5068;100;23349;3300;1795;0;17344;3717;5534;600;1000;3447;6356
ETRM;0;0;100;100;400;2071;0;0;0;100;0;0;0;0
ETV;0;200;0;550;200;0;0;300;0;0;0;0;100;0
ETW;0;548;0;2553;0;0;0;200;0;0;0;0;800;300
ETX;0;0;0;0;0;0;0;1100;0;0;0;0;0;0
ETY;0;500;0;12605;2250;0;0;7389;0;0;600;0;200;1952
EUFN;0;0;0;100;0;0;0;0;0;0;0;0;0;0
EUFX;0;0;0;0;0;0;0;0;700;0;0;0;0;0
EUM;0;0;0;589;0;0;0;0;0;100;0;300;0;0
EUO;0;1000;100;33323;3448;4982;0;0;2449;27700;0;0;3622;3815
EV;0;3442;100;15767;2471;7681;0;43804;3396;6863;2500;0;1551;3435
EVAC;0;0;0;0;0;100;0;0;0;0;0;0;0;100
EVBS;0;0;0;500;0;0;0;0;100;0;0;0;0;100
EVC;0;1400;0;18905;1000;4105;0;23712;2338;6400;1052;0;2500;2500
EVEP;0;1600;100;6800;100;300;0;0;2000;3996;0;0;200;2000
EVER;0;700;200;4500;300;200;0;1118;6025;300;0;0;300;1400
EVF;0;0;0;1063;0;0;0;600;0;0;0;0;0;0
EVG;0;173;0;700;0;0;0;895;0;0;0;0;0;0
EVJ;300;0;0;600;0;0;0;0;0;0;0;0;0;0
EVM;0;0;0;1600;0;342;0;0;100;100;0;0;0;0
EVN;0;100;0;702;0;0;0;0;0;0;0;0;0;0
EVR;0;1100;300;32390;1800;1400;0;4899;2640;10000;700;0;400;2200
EVT;0;200;0;2792;0;0;0;119;0;200;100;0;0;0
EVTC;0;1845;0;7191;100;1000;0;4100;5300;1900;0;100;500;2171
EVV;3533;1400;0;5769;100;0;0;0;1000;200;600;200;0;200
EW;0;6483;100;48894;1600;4630;0;19827;4813;2862;300;100;700;2653
EWA;0;2100;0;24635;6391;4811;0;0;11471;4297;100;600;1800;15094
EWAS;0;0;0;0;0;0;0;0;0;0;0;0;0;472
EWBC;0;2200;0;12769;1200;2521;0;0;4454;9009;200;0;1400;10200
EWC;0;4390;0;76730;7870;4384;0;0;24790;5412;0;100;1600;9526
EWD;0;0;0;7335;200;200;0;0;4634;685;0;0;400;2000
EWG;0;13274;400;13656;5741;15373;0;0;37211;31667;1300;400;1130;11522
EWH;0;7241;700;43305;9084;3410;0;0;25109;12943;0;300;3700;13940
EWI;0;300;0;50863;4116;3358;0;0;14119;399;0;0;4849;29856
EWJ;0;131060;0;1017401;194764;15500;0;0;105582;35309;5200;0;69232;165222
EWL;0;100;0;10317;985;395;0;0;2989;332;0;0;200;3500
EWM;0;5000;0;39382;18180;1200;0;0;17300;39365;200;400;5690;13047
EWN;0;0;0;683;0;230;0;0;400;0;0;0;0;1500
EWO;0;0;0;590;0;0;0;0;0;0;0;0;100;0
EWP;0;1128;0;10360;200;0;0;0;200;100;100;0;700;600
EWQ;0;2494;0;3728;800;600;0;0;700;2446;0;0;400;1600
EWS;0;16066;0;39752;7371;1600;0;0;1914;3184;0;0;2300;7105
EWT;0;10608;0;134188;37462;3200;0;0;47680;30319;900;28100;10771;31185
EWU;0;8061;0;10942;1462;900;0;0;1600;2511;0;0;1390;7294
EWUS;0;0;0;0;0;0;0;0;0;0;0;0;0;2501
EWV;0;1200;0;1600;0;0;0;0;700;0;0;0;0;0
EWW;0;606;0;27970;2389;7959;0;0;20035;4900;0;400;1500;11908
EWX;0;0;0;320;0;0;0;0;3700;1100;0;0;0;0
EWY;0;600;0;21797;1300;2800;0;0;17609;11291;300;200;700;3232
EWZ;0;6600;1000;158788;33267;32835;0;0;385785;36500;1100;700;5508;82309
EWZS;0;0;0;300;0;0;0;0;500;0;0;0;0;0
EXA;0;0;0;140;0;0;0;0;0;100;0;0;0;100
EXAC;0;200;0;200;100;0;0;0;0;300;0;0;0;100
EXAM;0;100;0;1258;100;1234;0;999;346;0;0;0;0;0
EXAR;0;100;0;1600;0;400;0;0;200;3459;0;0;100;600
EXAS;0;3000;0;67633;4610;2900;0;0;10766;24373;300;0;4962;5825
EXC;0;11197;0;127437;6685;12822;0;27909;1500;17190;300;300;1700;11046
EXEL;0;2639;100;51600;2326;8992;0;0;10336;37601;0;0;104;10988
EXG;0;1700;0;16307;626;500;0;2957;0;0;0;0;1301;0
EXH;0;2274;100;3800;800;400;0;7258;3360;2139;600;0;1200;1100
EXK;0;5099;100;9750;2400;900;0;2506;1111;2600;100;300;1000;3200
EXL;0;800;0;5450;500;0;0;2413;676;350;100;200;600;900
EXLP;0;0;0;1016;0;0;0;0;279;394;0;0;0;0
EXLS;0;0;0;1196;0;400;0;0;100;1329;0;0;0;100
EXP;0;5200;0;15162;700;900;0;7658;3360;1800;2000;1500;900;2100
EXPD;0;4422;100;28026;2300;2500;0;0;2067;13586;0;0;1611;5826
EXPE;0;2000;100;20716;1600;2284;0;0;12689;13603;0;0;1128;20740
EXPO;0;300;0;600;0;0;0;0;500;5668;0;0;200;800
EXPR;0;3614;0;17430;3700;3200;0;11686;5338;4200;1100;0;678;3906
EXR;0;5997;0;12597;2489;1747;0;22868;3794;3866;600;1600;5221;2400
EXTR;0;3052;0;21100;2600;0;0;0;1100;600;0;0;1100;1725
EXXI;0;1300;100;9825;2400;1440;0;0;1600;14965;300;0;1280;1500
EZA;0;300;0;300;0;200;0;0;4010;300;0;0;400;0
EZCH;0;100;0;2249;100;648;0;0;500;4868;0;0;0;100
EZJ;0;0;0;1400;0;0;0;0;0;0;0;0;0;0
EZPW;0;1600;0;34124;500;3700;0;0;4100;7022;300;0;200;7178
EZU;0;0;0;2647;200;0;0;0;434;500;0;0;509;301
F;0;259770;0;869483;180869;55666;0;275850;164408;163285;14700;16300;18885;97049
FAB;0;0;0;821;0;0;0;0;0;0;0;0;0;0
FAC;0;0;0;2000;0;0;0;0;0;100;0;0;0;0
FAF;0;2270;0;8300;1500;1300;0;10648;5168;800;0;0;2600;2217
FALC;0;0;0;300;200;200;0;0;100;100;0;0;0;100
FAM;0;0;0;0;0;0;0;500;0;0;0;0;0;0
FAN;0;0;0;100;0;0;0;0;0;0;0;0;0;0
FANG;0;617;0;900;0;0;0;0;400;1237;0;0;100;0
FARM;0;0;0;1000;0;0;0;0;0;200;0;0;0;0
FARO;0;1100;0;1100;0;200;0;0;500;1400;0;0;200;300
FAS;0;26693;0;70449;16500;29984;0;0;28219;66014;0;3400;17488;29172
FAST;0;2650;0;14503;600;3800;0;0;3621;19552;1100;200;1100;3800
FAUS;0;0;0;110;0;0;0;0;0;0;0;0;0;0
FAX;0;1600;0;11105;421;0;0;0;200;1535;100;0;200;500
FAZ;0;2550;0;66370;7125;36054;0;0;5690;30172;0;0;10084;27865
FB;1700;4993;200;320700;15621;30642;0;0;25714;52062;0;400;9083;29650
FBC;0;2936;0;7000;2000;900;0;8426;3102;3400;500;0;200;2660
FBG;0;0;0;2032;0;0;0;0;1136;1200;0;0;0;0
FBHS;0;1845;200;54358;1834;4792;0;13810;2240;3022;0;0;1700;3177
FBIZ;0;0;0;0;0;0;0;0;200;0;0;0;0;0
FBMS;0;0;0;100;0;0;0;0;0;0;0;0;0;0
FBNC;0;0;0;0;100;200;0;0;0;500;0;0;0;0
FBNK;0;0;0;2100;300;100;0;0;500;400;0;0;0;100
FBP;0;1702;0;6100;500;200;0;4044;2313;900;700;0;201;1235
FBR;0;18437;100;40280;8108;765;0;19147;4279;7000;900;300;6130;11206
FBRC;0;200;0;1600;200;750;0;0;300;0;0;0;0;0
FBT;0;0;0;915;0;100;0;0;200;100;0;0;0;123
FC;0;0;0;0;0;0;0;0;100;0;0;0;0;0
FCBC;0;0;0;100;0;377;0;0;0;725;0;0;0;300
FCEL;100;735;0;17775;300;1174;0;0;1000;400;0;0;500;400
FCF;0;3600;0;19421;800;1100;0;18436;13680;3500;100;0;800;8100
FCFS;0;400;0;2736;100;986;0;0;300;3119;0;0;300;600
FCG;0;2500;0;15000;1176;100;0;0;9366;6231;100;0;3385;1100
FCH;0;1700;0;7009;1300;440;0;11117;1688;1800;200;100;400;1325
FCN;0;1028;0;200;200;333;0;2779;787;300;100;0;300;0
FCNCA;0;0;0;0;0;0;0;0;100;0;0;0;0;100
FCS;0;6665;100;21395;3461;997;0;6535;943;900;4100;0;828;3906
FCT;0;0;0;625;0;0;0;500;400;0;0;0;0;0
FCX;0;53397;200;214428;13040;8261;0;66279;13993;14184;4697;3200;9232;41103
FDD;0;0;0;1763;0;0;0;0;0;0;0;0;0;0
FDEF;0;0;0;800;0;0;0;0;0;0;0;0;0;0
FDI;0;0;0;200;0;0;0;0;0;0;0;0;0;0
FDL;0;0;0;7412;2728;1200;0;0;0;0;0;0;0;0
FDML;0;300;0;4300;600;1396;0;0;2100;4518;100;0;0;400
FDN;0;0;0;1645;0;0;0;0;0;0;0;0;0;0
FDO;0;7307;200;45500;1200;2400;0;12398;2300;4100;1000;600;1900;3300
FDP;0;0;0;1000;0;0;0;3547;507;200;100;0;0;1700
FDS;0;1356;100;4800;200;1000;0;3859;1500;2300;0;100;100;1400
FDUS;0;100;0;968;100;200;0;0;100;100;0;0;0;0
FDX;0;9875;0;10371;1800;1941;0;21360;6500;6323;300;100;2700;5450
FE;0;8235;200;26534;2729;1134;0;16497;4113;4736;500;800;3089;3706
FEI;0;500;0;1001;0;300;0;5672;0;0;0;0;0;0
FEIC;0;400;0;1900;100;100;0;0;500;2933;0;0;100;400
FELE;0;200;0;3400;300;100;0;0;0;3362;0;0;300;500
FEM;0;0;0;107;100;100;0;0;0;0;0;0;0;0
FEN;0;0;0;558;0;0;0;0;0;0;0;0;0;0
FENG;0;0;0;3600;0;300;0;1669;513;200;0;0;0;416
FES;0;100;0;651;0;1601;0;0;200;1100;0;0;0;0
FET;0;1184;0;5214;400;800;0;5381;402;500;200;0;100;1300
FEU;0;0;0;900;0;0;0;0;0;0;0;0;0;0
FEX;0;0;0;5672;0;0;0;0;100;0;0;0;0;7800
FEZ;0;600;0;20113;2371;449;0;0;2300;600;0;0;917;1687
FF;0;400;100;1500;0;100;0;2587;300;900;0;0;100;200
FFA;0;0;0;0;0;0;0;100;0;0;0;0;0;0
FFBC;0;0;100;3200;300;300;0;0;200;1973;0;0;300;800
FFC;0;0;0;1285;0;0;0;200;0;0;0;0;0;700
FFG;0;0;0;300;0;0;0;500;100;100;0;0;0;0
FFHL;0;0;0;200;0;0;0;0;0;0;0;0;0;0
FFIC;0;200;0;1410;0;0;0;0;100;600;0;0;0;0
FFIN;0;100;0;1500;0;100;0;0;300;0;0;0;0;400
FFIV;0;1200;500;26396;1400;2500;0;0;2929;8498;0;0;1400;3244
FFKT;0;0;0;200;0;0;0;0;100;0;0;0;0;200
FFNM;0;0;0;0;0;0;0;0;0;100;0;0;0;0
FFNW;0;0;0;100;0;0;0;0;0;100;0;0;0;0
FFR;0;0;0;164;0;0;0;0;0;0;0;0;0;0
FGD;0;0;0;1571;0;3500;0;0;0;0;0;0;0;0
FGP;0;0;0;3000;0;0;0;300;313;100;100;0;0;0
FHCO;0;100;0;643;0;0;0;0;0;700;0;0;0;474
FHN;0;16139;0;76681;16055;6733;0;31176;14487;23016;3195;300;7422;19561
FIBK;0;600;0;4200;400;200;0;0;200;2497;0;0;100;851
FICO;0;100;200;2100;100;0;0;2106;644;479;0;0;0;300
FIG;0;5362;0;12470;2300;500;0;5555;600;900;0;0;2865;2700
FII;0;7276;300;13607;3300;600;0;11735;3049;1300;5036;700;2800;3300
FINL;0;2739;300;13028;2507;1699;0;0;5700;13668;5700;0;1955;3517
FIO;0;16200;300;106595;10200;26925;0;57093;10430;11884;6000;800;3600;15845
FIRE;0;1400;0;12100;300;3091;0;0;500;5035;0;0;600;1200
FIS;0;5734;0;28900;1542;881;0;16924;1100;6822;1300;200;1800;5859
FISI;0;0;0;100;0;100;0;0;0;400;0;0;0;700
FISV;0;42609;200;8801;1800;700;0;0;2300;6854;200;0;1500;1200
FITB;0;9424;0;283141;20739;9051;0;0;36054;37095;1800;0;8488;27964
FIVE;0;0;100;7300;300;3100;0;0;800;2658;0;0;0;1000
FIW;0;0;0;350;136;0;0;0;0;0;0;0;0;0
FIX;0;1000;0;1700;200;300;0;1996;1132;800;0;0;0;100
FIZZ;0;100;0;1300;0;300;0;0;0;100;0;0;0;400
FL;0;22247;400;150743;11714;12788;0;110094;14936;20296;500;1500;8400;14407
FLC;0;0;0;200;0;0;0;800;0;0;0;0;0;856
FLDM;0;100;0;400;0;100;0;0;0;1000;0;0;100;200
FLEX;0;15068;0;32777;7536;2192;0;0;1584;3200;4200;0;25746;9903
FLIC;0;0;0;100;0;0;0;0;300;0;0;0;0;0
FLIR;0;5782;0;53763;5790;3100;0;0;5606;14858;0;100;2624;16497
FLL;0;0;0;1900;0;0;0;0;0;5635;0;0;0;0
FLO;0;3040;100;12856;600;3057;0;9854;4192;3509;3000;0;810;3100
FLOT;0;0;0;17750;0;0;0;0;0;0;0;0;0;0
FLOW;0;100;0;700;200;4674;0;0;200;1998;0;0;0;0
FLR;0;5829;500;49933;5100;9943;0;16488;8436;7553;600;600;900;5200
FLRN;0;0;0;0;0;0;0;0;100;0;0;0;0;0
FLS;0;900;0;5514;100;721;0;931;600;300;100;0;200;400
FLT;0;0;100;84701;100;1532;0;8147;1800;1000;0;0;100;300
FLTX;0;0;100;7302;0;1558;0;900;939;100;0;0;0;900
FLWS;0;100;0;7940;800;600;0;0;1600;4000;0;0;1200;600
FLXS;0;0;0;0;0;0;0;0;100;0;0;0;0;0
FLY;0;0;0;398;0;0;0;400;200;100;100;0;100;0
FMBI;0;500;0;5906;1500;300;0;0;400;6063;0;0;400;1400
FMC;0;2500;0;5470;1300;1100;0;16571;2695;1400;100;0;500;1400
FMD;0;100;0;4600;0;200;0;1518;0;0;0;0;0;0
FMER;0;4518;100;49323;5823;2800;0;0;4177;6559;700;100;4000;7413
FMN;0;0;0;1499;0;0;0;700;100;400;0;0;0;100
FMNB;0;0;0;0;0;0;0;0;100;0;0;0;100;0
FMO;0;0;0;900;0;100;0;200;100;0;0;0;0;0
FMS;0;200;0;800;100;200;0;2000;281;600;200;0;100;0
FMX;0;1300;0;3500;0;900;0;880;700;800;0;100;100;800
FMY;0;0;0;100;0;500;0;600;0;0;0;0;0;0
FN;0;100;0;300;200;500;0;600;0;300;900;0;0;100
FNB;0;6853;0;11336;2474;1685;0;8057;1050;700;1700;0;606;3900
FNF;0;3275;0;23457;1881;1785;0;9279;781;2600;4898;350;1000;2500
FNFG;100;26581;0;210296;36823;8080;0;0;20446;47687;16309;300;23527;24397
FNGN;0;400;0;1103;0;950;0;0;800;2622;100;0;0;300
FNIO;0;0;0;260;0;0;0;0;0;0;0;0;0;0
FNK;0;0;0;1400;0;0;0;0;0;0;0;0;0;0
FNLC;0;300;0;200;0;0;0;0;0;1700;0;0;0;100
FNP;0;3918;100;12750;2300;1700;0;9340;1556;2522;300;0;900;1900
FNSR;0;4606;100;37632;5500;2498;0;0;3921;12423;2700;0;5400;4172
FNV;0;300;0;1220;800;2200;0;3113;600;895;100;0;100;300
FNX;0;0;0;1997;922;5161;0;0;300;0;0;0;100;100
FOE;0;400;0;19015;3300;506;0;18742;501;1736;8500;0;993;2307
FOF;0;0;0;200;0;0;0;200;100;0;0;0;0;0
FOLD;0;500;0;5000;400;640;0;0;100;1207;700;0;100;900
