,Stock,A,B,C,D,J,K,M,N,P,Q,W,X,Y,Z,
89,AEH,0,0,0,0.579915425,0,0.045161555,0,0.276388718,0.073900727,0.012316788,0,0,0,0.012316788,1
90,AEIS,0,0.256478582,0.003330891,0.093264939,0,0.34308174,0,0,0.084005063,0.123242955,0,0,0.013323563,0.083272267,1
91,AEL,0,0,0,0.260705817,0,0,0,0.641651555,0.055795787,0.027897894,0,0,0,0.013948947,1
92,AEM,0,0.049867996,0,0.530947492,0.008800235,0.023467292,0,0.161044295,0.067468466,0.09386917,0.002933412,0,0.002933412,0.058668231,1
93,AEO,0,0.155239327,0,0.374166584,0.029853717,0.03582446,0,0.154662155,0.105483133,0.077102199,0.001990248,0,0.019902478,0.045775699,1
94,AEP,0,0.022242611,0.005560653,0.384852782,0.005560653,0.013901632,0,0.214669002,0.06950816,0.183612756,0,0.008340979,0.002780326,0.088970445,1
95,AERL,0,0,0,0.7,0.05,0,0,0,0.25,0,0,0,0,0,1
96,AES,0,0.047373651,0,0.367296004,0.09941534,0.020798188,0,0.147366718,0.034663647,0.175629145,0.00231091,0.006932729,0.00231091,0.095902757,1
97,AET,0,0.061372284,0,0.678122826,0.006137228,0.002045743,0,0.069555256,0.026594657,0.113211407,0,0,0.016365942,0.026594657,1
98,AETI,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
99,AEV,0,0,0,0.116883117,0,0,0,0.883116883,0,0,0,0,0,0,1
100,AEZS,0,0,0,0.75,0,0,0,0,0.25,0,0,0,0,0,1
101,AF,0,0,0,0.877777778,0.011111111,0,0,0.044444444,0,0.022222222,0,0,0,0.044444444,1
102,AFAM,0,0,0,0.176470588,0,0.058823529,0,0,0.529411765,0.058823529,0,0,0,0.176470588,1
103,AFB,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,1
104,AFC,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
105,AFCE,0,0,0,0.5,0,0.166666667,0,0,0,0.333333333,0,0,0,0,1
106,AFFX,0,0.008192692,0,0.836146158,0.008192692,0.024578076,0,0,0.016385384,0.073734229,0,0,0,0.032770768,1
107,AFG,0,0,0,0.181818182,0,0,0,0.636363636,0,0,0.181818182,0,0,0,1
108,AFK,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
109,AFL,0,0.08069155,0,0.276102763,0.00323154,0.037162708,0,0.23160446,0.063661335,0.230117951,0.009694619,0,0,0.067733075,1
110,AFOP,0,0,0,0.906542056,0,0,0,0,0.093457944,0,0,0,0,0,1
111,AFQ,0,0,0,0.072727273,0,0,0,0.290909091,0.636363636,0,0,0,0,0,1
112,AFSD,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
113,AFSI,0,0.005714449,0,0.560558873,0.008571673,0.011428898,0,0,0.28229378,0.120003429,0,0,0,0.011428898,1
114,AG,0,0.011566042,0,0.441389082,0,0.002891511,0,0.034698126,0.078070784,0.312254222,0,0,0,0.119130234,1
115,AGC,0,0,0,0.25,0,0,0,0.75,0,0,0,0,0,0,1
116,AGCO,0,0.014583637,0,0.255942832,0,0.218754557,0,0.189587283,0.043750911,0.175295319,0,0,0,0.10208546,1
117,AGD,0,0,0,0.743468238,0,0.038422131,0,0.205302254,0.012807377,0,0,0,0,0,1
118,AGEM,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
119,AGEN,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
120,AGG,0,0.00279869,0,0.415017772,0,0.011194761,0,0,0.507878313,0.026727492,0,0,0.00559738,0.030785592,1
121,AGI,0,0,0,0,0,0,0,0.329758713,0,0.268096515,0,0,0,0.402144772,1
122,AGII,0,0,0,0,0,0.333333333,0,0,0,0.666666667,0,0,0,0,1
123,AGIIL,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
124,AGM,0,0,0,0,0,0,0,0.333333333,0,0.333333333,0,0,0,0.333333333,1
125,AGN,0,0.006632179,0,0.119511872,0,0.013264359,0,0.787272848,0.031502852,0.030209577,0.006632179,0,0.001658045,0.00331609,1
126,AGNC,0,0.027724419,0,0.84573341,0.001980316,0.023763788,0,0,0.023763788,0.057300434,0.002970473,0,0.000990158,0.015773214,1
127,AGNCP,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
128,AGO,0,0.011764706,0,0.3,0.005882353,0.088235294,0,0.2,0.094117647,0.188235294,0,0,0.011764706,0.1,1
129,AGQ,0,0,0,0.666388226,0.003977725,0.014140811,0,0,0.206463803,0.091129674,0,0,0,0.017899761,1
130,AGRO,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
131,AGU,0,0.015312763,0,0.633948396,0,0.030625526,0,0.107189342,0.036827195,0.122502106,0.015312763,0,0.007656382,0.030625526,1
132,AGX,0,0,0,0.666666667,0,0,0,0,0.333333333,0,0,0,0,0,1
133,AGYS,0,0,0,0.913897021,0,0.034441192,0,0,0,0.017220596,0,0,0.017220596,0.017220596,1
134,AGZ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
135,AH,0,0,0,0.571428571,0,0,0,0,0.428571429,0,0,0,0,0,1
136,AHC,0,0,0,0.5,0,0,0,0,0.5,0,0,0,0,0,1
137,AHL,0,0.072345813,0,0.461204558,0,0,0,0.35793091,0.018086453,0.036172906,0.018086453,0.018086453,0,0.018086453,1
138,AHS,0,0.034482759,0,0.103448276,0,0.137931034,0,0.275862069,0.310344828,0.034482759,0,0,0,0.103448276,1
139,AHT,0,0,0,0.125874126,0,0.174825175,0,0.174825175,0.087412587,0,0,0,0.087412587,0.34965035,1
140,AI,0,0,0,0.694189602,0,0,0,0.267584098,0,0,0.0382263,0,0,0,1
141,AIA,0,0,0,0.691056911,0,0,0,0,0.308943089,0,0,0,0,0,1
142,AIB,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
143,AIG,0,0.01025432,0.001538564,0.536422382,0.014690374,0.041339133,0,0.109684636,0.059382745,0.149103475,0.001580147,0.007651237,0.018629098,0.04972389,1
144,AIMC,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
145,AIN,0,0,0,0.4,0,0,0,0.2,0.4,0,0,0,0,0,1
146,AINV,0,0,0,0.391872279,0.290275762,0.029027576,0,0,0,0.187227866,0,0,0,0.101596517,1
147,AIR,0,0.086206897,0,0.129310345,0,0.094827586,0,0.215517241,0.172413793,0.129310345,0.086206897,0,0,0.086206897,1
148,AIRM,0,0.003096742,0,0.857797597,0,0.012386969,0,0,0.006348322,0.117273628,0,0,0,0.003096742,1
149,AIT,0,0,0,0.4,0,0,0,0.4,0,0,0,0,0,0.2,1
150,AIV,0,0.053191489,0,0.457446809,0,0,0,0.308510638,0.042553191,0.074468085,0,0,0.031914894,0.031914894,1
151,AIXG,0,0.051607196,0,0.473360857,0.024574855,0.108129362,0,0,0.112970608,0.103214391,0,0,0.041777254,0.084365477,1
152,AIZ,0,0,0,0.7407525,0.021114463,0.015875536,0,0.127004286,0,0.047626607,0,0,0,0.047626607,1
153,AJG,0,0.156156156,0,0.147147147,0.012012012,0.036036036,0,0.12012012,0.204204204,0.192192192,0,0.012012012,0.012012012,0.108108108,1
154,AKAM,0,0.028123918,0,0.529032537,0.028123918,0.019470405,0,0,0.037058671,0.208960713,0,0,0.010816892,0.138412946,1
155,AKG,0,0.048387097,0,0.564516129,0.032258065,0,0,0,0.080645161,0.064516129,0,0.14516129,0,0.064516129,1
156,AKR,0,0.983640528,0,0.010906315,0,0,0,0.005453157,0,0,0,0,0,0,1
157,AKRX,0,0.137931034,0,0.448275862,0,0.206896552,0,0,0,0.137931034,0,0,0,0.068965517,1
158,AKS,0,0.005599498,0.000764959,0.663421967,0.001912397,0.039969096,0,0.10834111,0.037326163,0.042072732,0.001529918,0.005354711,0.003442314,0.090265135,1
159,AL,0,0.090909091,0,0.545454545,0,0.090909091,0,0.090909091,0.090909091,0,0,0,0,0.090909091,1
160,ALB,0,0.014116318,0,0.414172784,0.042348955,0.056465274,0,0.127046866,0.070581592,0.176453981,0,0,0.042348955,0.056465274,1
161,ALCO,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
162,ALDW,0,0.009912768,0,0.791831879,0,0.059476606,0,0,0.039651071,0.059476606,0,0,0,0.039651071,1
163,ALE,0,0,0,0.647058824,0,0,0,0.235294118,0,0.058823529,0,0,0,0.058823529,1
164,ALEX,0,0,0,0.995348837,0,0,0,0,0.004651163,0,0,0,0,0,1
165,ALGN,0,0.015481474,0,0.670296212,0.025802456,0.04128393,0,0,0.020641965,0.159407576,0,0,0.015481474,0.051604913,1
166,ALGT,0,0,0,0.34375,0,0.03125,0,0,0.21875,0.40625,0,0,0,0,1
167,ALJ,0,0.023201856,0.011600928,0.524361949,0,0.197215777,0,0.116009281,0.023201856,0.023201856,0,0,0.011600928,0.069605568,1
168,ALK,0,0.01750547,0,0.693654267,0.043763676,0,0,0.043763676,0.070021882,0.070021882,0,0,0.026258206,0.035010941,1
169,ALKS,0,0,0,0.797023489,0.008965394,0,0,0,0.044826968,0.095391788,0,0,0,0.053792361,1
170,ALL,0,0.012877968,0,0.504017926,0,0.028846649,0,0.193349817,0.126590429,0.090248802,0,0,0.010302375,0.033766033,1
171,ALLT,0,0.01003009,0,0.63891675,0.020060181,0.01003009,0,0,0.050150451,0.150451354,0.01003009,0,0.020060181,0.090270812,1
172,ALNY,0,0.047169811,0,0.339622642,0.01572327,0.047169811,0,0,0.094339623,0.267295597,0,0.047169811,0.01572327,0.125786164,1
173,ALOG,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
174,ALR,0,0.0625,0,0.5625,0,0,0,0.25,0.0625,0.0625,0,0,0,0,1
175,ALSK,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
176,ALSN,0,0,0,0.307692308,0,0.076923077,0,0.307692308,0,0.307692308,0,0,0,0,1
177,ALTR,0,0.004399085,0,0.441888087,0.030793595,0.065986275,0,0,0.203193736,0.174555692,0,0,0.030793595,0.048389935,1
178,ALU,0,0.086511462,0,0.622789424,0.045065791,0.013866397,0,0.182739307,0.007428427,0.020799596,0,0,0.011390255,0.009409341,1
179,ALV,0,0.078034604,0,0.363264537,0.008072545,0.002690848,0,0.129160724,0.17059979,0.116782822,0.002690848,0,0.029141888,0.099561392,1
180,ALVR,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
181,ALXA,0,0,0,0.423076923,0,0.384615385,0,0,0,0.192307692,0,0,0,0,1
182,ALXN,0,0.01735388,0,0.644245453,0.020824656,0.041649313,0,0,0.059003193,0.175274191,0.003470776,0,0.010412328,0.027766209,1
183,AMAG,0,0,0,0.75,0,0,0,0,0,0.25,0,0,0,0,1
184,AMAP,0,0,0,0.913043478,0,0,0,0,0,0.086956522,0,0,0,0,1
185,AMAT,0.004247998,0.028397868,0,0.321807098,0.014867993,0.050975978,0,0,0.085639642,0.346487968,0.008495996,0,0.008495996,0.130583463,1
186,AMBA,0,0,0,0.962962963,0,0,0,0,0,0.037037037,0,0,0,0,1
187,AMCC,0,0,0,0.680150349,0.017898693,0.140862717,0,0,0.017898693,0.071594774,0,0,0,0.071594774,1
188,AMCX,0,0.083333333,0,0.892857143,0,0,0,0,0,0.023809524,0,0,0,0,1
189,AMD,0,0.02787412,0,0.617674582,0.021658192,0.073269117,0,0.166814665,0.023892103,0.032186645,0.000796403,0.001194605,0.007565833,0.027073735,1
190,AME,0,0.088013285,0,0.212182971,0,0.452898551,0,0.098128019,0.045289855,0.073294082,0,0.007548309,0.015096618,0.007548309,1
191,AMED,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
192,AMG,0,0.02820079,0,0.451212634,0.02820079,0,0,0.169204738,0.141003948,0.153976311,0,0,0,0.02820079,1
193,AMGN,0,0.0217193,0.002895907,0.53410654,0.020271346,0.110565715,0,0,0.066605853,0.161244081,0.001447953,0,0.020271346,0.060871957,1
194,AMID,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
195,AMJ,0,0,0.048088483,0.927867276,0,0,0,0,0.024044241,0,0,0,0,0,1
196,AMKR,0,0,0,0.84375,0,0,0,0,0.03125,0.03125,0,0,0,0.09375,1
197,AMLP,0,0.009372803,0,0.560181208,0.109349371,0.012497071,0,0,0.237178786,0.034366945,0,0,0.021869874,0.015183941,1
198,AMP,0,0.090314634,0,0.380584481,0.011196954,0.020154518,0,0.321598925,0.038069645,0.061941552,0.006718173,0.002239391,0.013436345,0.053745381,1
199,AMPE,0,0,0,0.547619048,0,0.19047619,0,0,0,0.166666667,0,0,0,0.095238095,1
200,AMRC,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
201,AMRE,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
202,AMRI,0,0.011267182,0,0.854202659,0.018778637,0.011267182,0,0,0.003755727,0.048148426,0,0,0.007511455,0.04506873,1
203,AMRN,0.001948862,0.00233585,0.000835227,0.540352577,0.006690164,0.1271521,0,0,0.051185465,0.246391821,0,0,0.00250568,0.020602254,1
204,AMRS,0,0,0,0.05790388,0.05790388,0.05790388,0,0,0.463231036,0.176606833,0,0,0,0.186450492,1
205,AMSC,0,0.0141623,0,0.537176037,0,0,0,0,0.053533494,0.311570599,0,0,0,0.08355757,1
206,AMSF,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
207,AMSG,0,0,0,0.333333333,0,0,0,0,0.222222222,0.333333333,0,0,0,0.111111111,1
208,AMT,0,0.056181879,0,0.596464287,0.007490917,0.039926589,0,0.127083411,0.071800442,0.042398592,0.007490917,0,0.021199296,0.029963669,1
209,AMTD,0,0,0,0.505632306,0.031880978,0.010626993,0,0.127523911,0.021253985,0.207438895,0,0.021253985,0.021253985,0.053134963,1
210,AMTG,0,0,0,0.595551062,0,0,0,0.303336704,0,0.033704078,0,0,0,0.067408156,1
211,AMWD,0,0,0,0.764705882,0,0,0,0,0,0.235294118,0,0,0,0,1
212,AMX,0,0.025411526,0,0.324872236,0.022588023,0.104469605,0,0.28356439,0.042352543,0.053646554,0,0.01976452,0.005647006,0.117683598,1
213,AMZN,0,0.02647827,0.003610673,0.56125507,0.019256923,0.043520647,0,0,0.153357324,0.124760793,0,0.002407115,0.014442693,0.050910491,1
214,AN,0,0.038461538,0,0.153846154,0,0.115384615,0,0.384615385,0.115384615,0.076923077,0,0,0,0.115384615,1
215,ANAC,0,0.011549567,0,0.179980751,0,0.273493744,0,0,0.042348412,0.050048123,0.003849856,0,0.427179981,0.011549567,1
216,ANAD,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
217,ANAT,0,0,0,0.962962963,0,0,0,0,0,0.037037037,0,0,0,0,1
218,ANCX,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
219,ANDE,0,0,0,0.6,0,0,0,0,0.2,0.2,0,0,0,0,1
220,ANEN,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
221,ANF,0,0.009547451,0,0.534657247,0,0.076379607,0,0.131181974,0.047737254,0.028642352,0,0,0,0.171854115,1
222,ANFI,0,0,0,0.25,0,0,0,0.375,0.25,0,0,0,0,0.125,1
223,ANGI,0,0.023172286,0.081103001,0.443865137,0,0.011586143,0,0,0.11586143,0.254895145,0,0,0.034758429,0.034758429,1
224,ANGO,0,0,0,0.25,0,0,0,0,0.25,0.5,0,0,0,0,1
225,ANH,0,0.013215859,0,0.321585903,0.118942731,0,0,0.176211454,0.039647577,0.295154185,0,0.008810573,0.013215859,0.013215859,1
226,ANIK,0,0,0,0.8,0,0,0,0,0,0.2,0,0,0,0,1
227,ANLY,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
228,ANN,0,0,0,0.687529635,0,0,0,0.094831674,0.099099099,0.094831674,0,0,0,0.023707918,1
229,ANR,0,0.002409393,0.002426378,0.501893788,0.006793857,0.032355746,0,0.108677454,0.039549955,0.243052674,0.002426378,0.005580669,0.012180416,0.042653292,1
230,ANSS,0,0.20754717,0,0.566037736,0.018867925,0.037735849,0,0,0.018867925,0.094339623,0,0,0.056603774,0,1
231,ANTH,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
232,ANV,0.030133881,0.048788188,0.01291452,0.382901175,0.02582904,0.024394094,0,0,0.027263987,0.376027781,0,0.007174733,0.002869893,0.061702708,1
233,ANW,0,0,0,0.555555556,0,0,0,0.166666667,0.111111111,0.166666667,0,0,0,0,1
234,AOA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
235,AOD,0,0,0,0.77792634,0,0.121550991,0,0,0,0,0,0,0,0.100522669,1
