"exchange"	"symbol"	"x"
"753"	"Z"	"CVM"	6250
"754"	"D"	"CVR"	1000
"755"	"P"	"CVR"	200
"759"	"A"	"CVU"	500
"760"	"D"	"CVU"	7265
"761"	"K"	"CVU"	800
"762"	"P"	"CVU"	1600
"763"	"Q"	"CVU"	1800
"764"	"Z"	"CVU"	200
"766"	"C"	"CXM"	6692
"767"	"D"	"CXM"	20952
"768"	"K"	"CXM"	66000
"769"	"P"	"CXM"	8800
"770"	"Q"	"CXM"	118353
"773"	"C"	"DEJ"	900
"774"	"D"	"DEJ"	74711
"775"	"K"	"DEJ"	1325
"776"	"P"	"DEJ"	2900
"790"	"A"	"DHY"	2722
"791"	"B"	"DHY"	1716
"792"	"D"	"DHY"	192836
"793"	"J"	"DHY"	2889
"794"	"K"	"DHY"	8501
"795"	"P"	"DHY"	18200
"796"	"Q"	"DHY"	2680
"797"	"W"	"DHY"	100
"798"	"Y"	"DHY"	2996
"799"	"Z"	"DHY"	3900
"801"	"D"	"DLA"	600
"802"	"P"	"DLA"	700
"803"	"Q"	"DLA"	500
"807"	"A"	"DMF"	1200
"808"	"D"	"DMF"	16027
"809"	"J"	"DMF"	100
"810"	"K"	"DMF"	700
"811"	"P"	"DMF"	300
"812"	"Z"	"DMF"	600
"822"	"A"	"DNN"	5640
"823"	"B"	"DNN"	1600
"824"	"D"	"DNN"	134025
"825"	"J"	"DNN"	1900
"826"	"K"	"DNN"	3500
"827"	"P"	"DNN"	1200
"828"	"Q"	"DNN"	4800
"829"	"W"	"DNN"	100
"830"	"Y"	"DNN"	1600
"831"	"Z"	"DNN"	600
"834"	"A"	"DPW"	100
"835"	"B"	"DPW"	300
"836"	"D"	"DPW"	260
"846"	"A"	"DSS"	695
"847"	"B"	"DSS"	600
"848"	"C"	"DSS"	400
"849"	"D"	"DSS"	53270
"850"	"J"	"DSS"	100
"851"	"K"	"DSS"	2750
"852"	"P"	"DSS"	8078
"853"	"Q"	"DSS"	4710
"854"	"W"	"DSS"	100
"855"	"Y"	"DSS"	600
"856"	"Z"	"DSS"	3400
"857"	"Q"	"DXR"	100
"871"	"A"	"EAD"	17198
"872"	"B"	"EAD"	14767
"873"	"D"	"EAD"	106888
"874"	"J"	"EAD"	6348
"875"	"K"	"EAD"	8325
"876"	"P"	"EAD"	13768
"877"	"Q"	"EAD"	12502
"878"	"W"	"EAD"	200
"879"	"X"	"EAD"	600
"880"	"Y"	"EAD"	13646
"881"	"Z"	"EAD"	2299
"885"	"A"	"ECF"	300
"886"	"D"	"ECF"	8883
"887"	"K"	"ECF"	600
"888"	"P"	"ECF"	200
"889"	"Q"	"ECF"	600
"890"	"Z"	"ECF"	481
"892"	"A"	"EGAS"	399
"893"	"D"	"EGAS"	5003
"894"	"K"	"EGAS"	100
"895"	"P"	"EGAS"	300
"898"	"D"	"EGI"	26789
"900"	"D"	"EIA"	1000
"901"	"P"	"EIA"	100
"902"	"Q"	"EIA"	200
"903"	"Z"	"EIA"	154
"911"	"A"	"EIM"	3133
"912"	"B"	"EIM"	200
"913"	"D"	"EIM"	38966
"914"	"J"	"EIM"	200
"915"	"K"	"EIM"	500
"916"	"P"	"EIM"	2814
"917"	"Q"	"EIM"	700
"918"	"Y"	"EIM"	1300
"919"	"Z"	"EIM"	2767
"921"	"A"	"EIO"	100
"922"	"D"	"EIO"	100
"923"	"D"	"EIP"	1107
"924"	"D"	"EIV"	898
"925"	"Q"	"EIV"	233
"926"	"Y"	"EIV"	100
"927"	"D"	"ELLO"	100
"933"	"A"	"EMAN"	300
"934"	"D"	"EMAN"	19958
"935"	"K"	"EMAN"	200
"936"	"P"	"EMAN"	200
"937"	"Q"	"EMAN"	3500
"938"	"Z"	"EMAN"	481
"939"	"A"	"EMI"	1465
"940"	"D"	"EMI"	1177
"942"	"D"	"EMJ"	1825
"943"	"P"	"EMJ"	200
"944"	"Z"	"EMJ"	237
"950"	"A"	"EMXX"	8600
"951"	"B"	"EMXX"	100
"952"	"D"	"EMXX"	71800
"953"	"J"	"EMXX"	100
"954"	"K"	"EMXX"	3725
"955"	"P"	"EMXX"	4200
"956"	"Q"	"EMXX"	5300
"957"	"Z"	"EMXX"	600
"962"	"D"	"ENX"	4525
"963"	"K"	"ENX"	200
"964"	"P"	"ENX"	513
"965"	"Q"	"ENX"	1200
"966"	"X"	"ENX"	400
"967"	"Z"	"ENX"	100
"980"	"A"	"EOX"	3300
"981"	"B"	"EOX"	2700
"982"	"D"	"EOX"	53154
"983"	"J"	"EOX"	400
"984"	"K"	"EOX"	12600
"985"	"P"	"EOX"	11101
"986"	"Q"	"EOX"	2700
"987"	"W"	"EOX"	200
"988"	"Y"	"EOX"	530
"989"	"Z"	"EOX"	700
"997"	"A"	"EPM"	300
"998"	"B"	"EPM"	100
"999"	"D"	"EPM"	8054
"1000"	"K"	"EPM"	400
"1001"	"P"	"EPM"	600
"1002"	"Q"	"EPM"	1841
"1003"	"X"	"EPM"	100
"1004"	"D"	"ERB"	2400
"1005"	"Q"	"ERB"	400
"1018"	"A"	"ERC"	15681
"1019"	"B"	"ERC"	4254
"1020"	"D"	"ERC"	27368
"1021"	"J"	"ERC"	600
"1022"	"K"	"ERC"	4633
"1023"	"P"	"ERC"	3517
"1024"	"Q"	"ERC"	5539
"1025"	"W"	"ERC"	100
"1026"	"X"	"ERC"	300
"1027"	"Y"	"ERC"	5254
"1028"	"Z"	"ERC"	1700
"1029"	"A"	"ERH"	200
"1030"	"D"	"ERH"	47875
"1031"	"K"	"ERH"	154
"1032"	"P"	"ERH"	2600
"1033"	"A"	"ESP"	700
"1034"	"D"	"ESP"	2098
"1035"	"P"	"ESP"	300
"1036"	"Q"	"ESP"	502
"1037"	"A"	"ESTE"	100
"1038"	"D"	"ESTE"	1250
"1039"	"K"	"ESTE"	300
"1046"	"A"	"ETAK"	6800
"1047"	"B"	"ETAK"	200
"1048"	"C"	"ETAK"	100
"1049"	"D"	"ETAK"	70629
"1050"	"J"	"ETAK"	200
"1051"	"K"	"ETAK"	5500
"1052"	"P"	"ETAK"	900
"1053"	"Q"	"ETAK"	4225
"1054"	"W"	"ETAK"	100
"1055"	"Y"	"ETAK"	3023
"1056"	"Z"	"ETAK"	900
"1057"	"A"	"ETF"	1839
